model,runtime,power_mode,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,memory_mb,model_size_mb,fps,power_avg_mw,power_max_mw
ssd_mobilenet_v2,pytorch_cpu,10w,1300.3552046220284,239.34331973048953,763.8986699748784,1667.2526110196486,1354.9605195294134,1580.867594940355,1643.4627337916756,0.0,13.25,0.77,4788.28,4920.0
ssd_mobilenet_v2,pytorch_cuda,10w,233.51867889404298,7.132327801542315,229.04603576660156,264.3439025878906,231.2928695678711,252.1452209472656,261.70028717041015,29.75,13.25,4.28,3883.75,4824.0
