RAM 3176/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [5%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@35C CPU@37.5C iwlwifi@34C PMIC@50C GPU@35.5C AO@46.5C thermal@36.75C POM_5V_IN 1969/2489 POM_5V_GPU 164/347 POM_5V_CPU 328/581
RAM 3176/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [4%@1479,0%@1479,0%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@35.5C CPU@37C iwlwifi@34C PMIC@50C GPU@35.5C AO@46.5C thermal@36.25C POM_5V_IN 1972/2456 POM_5V_GPU 164/336 POM_5V_CPU 328/565
RAM 3176/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,2%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@35.5C CPU@37C iwlwifi@34C PMIC@50C GPU@35.5C AO@46C thermal@36.25C POM_5V_IN 1972/2428 POM_5V_GPU 164/326 POM_5V_CPU 328/551
RAM 3176/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,1%@1479,2%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@35C CPU@36.5C iwlwifi@35C PMIC@50C GPU@35.5C AO@46C thermal@36.25C POM_5V_IN 1972/2403 POM_5V_GPU 164/317 POM_5V_CPU 328/539
RAM 3176/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,2%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@35.5C CPU@37C iwlwifi@34C PMIC@50C GPU@35C AO@46C thermal@36C POM_5V_IN 2808/2424 POM_5V_GPU 162/308 POM_5V_CPU 1017/564
RAM 3178/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [4%@1479,1%@1479,1%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@35C CPU@37C iwlwifi@34C PMIC@50C GPU@35C AO@46C thermal@36C POM_5V_IN 1972/2401 POM_5V_GPU 164/301 POM_5V_CPU 328/552
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [4%@1479,0%@1479,2%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34.5C CPU@37C iwlwifi@34C PMIC@50C GPU@35C AO@46C thermal@36C POM_5V_IN 1972/2381 POM_5V_GPU 164/295 POM_5V_CPU 328/541
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,1%@1479,0%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@35C CPU@36.5C iwlwifi@34C PMIC@50C GPU@35C AO@46C thermal@35.75C POM_5V_IN 1972/2362 POM_5V_GPU 164/289 POM_5V_CPU 328/532
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,3%@1479,0%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34.5C CPU@36.5C iwlwifi@34C PMIC@50C GPU@35C AO@45.5C thermal@35.75C POM_5V_IN 1975/2345 POM_5V_GPU 164/283 POM_5V_CPU 328/523
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,2%@1479,1%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34.5C CPU@36C iwlwifi@34C PMIC@50C GPU@34.5C AO@46C thermal@35.75C POM_5V_IN 1969/2330 POM_5V_GPU 164/278 POM_5V_CPU 328/515
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [5%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34.5C CPU@36.5C iwlwifi@34C PMIC@50C GPU@35C AO@45.5C thermal@35.5C POM_5V_IN 1972/2315 POM_5V_GPU 164/274 POM_5V_CPU 328/507
RAM 3178/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,2%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34C CPU@36.5C iwlwifi@34C PMIC@50C GPU@34.5C AO@46C thermal@35.75C POM_5V_IN 1972/2302 POM_5V_GPU 164/269 POM_5V_CPU 328/500
RAM 3178/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [1%@1479,2%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34.5C CPU@36.5C iwlwifi@34C PMIC@50C GPU@34.5C AO@45.5C thermal@35.75C POM_5V_IN 1972/2290 POM_5V_GPU 164/265 POM_5V_CPU 328/494
RAM 3178/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,3%@1479,0%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34C CPU@36C iwlwifi@34C PMIC@50C GPU@34.5C AO@45C thermal@35.25C POM_5V_IN 1972/2278 POM_5V_GPU 164/262 POM_5V_CPU 328/488
RAM 3178/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,2%@1479,2%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34C CPU@36C iwlwifi@34C PMIC@50C GPU@34.5C AO@45C thermal@35.5C POM_5V_IN 1972/2268 POM_5V_GPU 164/258 POM_5V_CPU 328/482
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,2%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34C CPU@36C iwlwifi@34C PMIC@50C GPU@34.5C AO@45C thermal@35.25C POM_5V_IN 1972/2258 POM_5V_GPU 164/255 POM_5V_CPU 328/477
RAM 3178/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,0%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34C CPU@36C iwlwifi@34C PMIC@50C GPU@34.5C AO@45C thermal@35C POM_5V_IN 2256/2258 POM_5V_GPU 163/252 POM_5V_CPU 327/472
RAM 3178/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,0%@1479,3%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34C CPU@36C iwlwifi@35C PMIC@50C GPU@34.5C AO@45C thermal@35.25C POM_5V_IN 1972/2249 POM_5V_GPU 164/249 POM_5V_CPU 328/468
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,0%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@34C CPU@35.5C iwlwifi@34C PMIC@50C GPU@34.5C AO@45C thermal@35C POM_5V_IN 1972/2241 POM_5V_GPU 164/247 POM_5V_CPU 328/464
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,0%@1479,3%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33.5C CPU@35.5C iwlwifi@34C PMIC@50C GPU@34C AO@45C thermal@35C POM_5V_IN 1969/2233 POM_5V_GPU 164/244 POM_5V_CPU 328/460
RAM 3177/3964MB (lfb 3x2MB) SWAP 630/6078MB (cached 9MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,0%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33.5C CPU@35.5C iwlwifi@34C PMIC@50C GPU@34.5C AO@45.5C thermal@34.75C POM_5V_IN 1972/2225 POM_5V_GPU 164/242 POM_5V_CPU 328/456
RAM 3186/3964MB (lfb 2x2MB) SWAP 629/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [4%@1479,2%@1479,4%@1479,5%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33.5C CPU@35.5C iwlwifi@34C PMIC@50C GPU@34C AO@45C thermal@35C POM_5V_IN 1934/2217 POM_5V_GPU 164/240 POM_5V_CPU 328/452
RAM 3186/3964MB (lfb 2x2MB) SWAP 629/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,0%@1479,3%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33.5C CPU@35.5C iwlwifi@34C PMIC@50C GPU@34.5C AO@44.5C thermal@35C POM_5V_IN 1934/2209 POM_5V_GPU 164/238 POM_5V_CPU 328/449
RAM 3186/3964MB (lfb 2x2MB) SWAP 629/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [4%@1479,1%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33.5C CPU@35.5C iwlwifi@33C PMIC@50C GPU@34C AO@45C thermal@34.5C POM_5V_IN 1934/2202 POM_5V_GPU 164/236 POM_5V_CPU 328/446
RAM 3185/3964MB (lfb 2x2MB) SWAP 629/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [4%@1479,1%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33.5C CPU@35C iwlwifi@35C PMIC@50C GPU@34C AO@45C thermal@34.5C POM_5V_IN 1972/2196 POM_5V_GPU 164/234 POM_5V_CPU 328/443
RAM 3185/3964MB (lfb 2x2MB) SWAP 629/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,1%@1479,1%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33.5C CPU@35C iwlwifi@36C PMIC@50C GPU@34C AO@44.5C thermal@34.75C POM_5V_IN 1931/2190 POM_5V_GPU 164/232 POM_5V_CPU 328/440
RAM 3186/3964MB (lfb 2x2MB) SWAP 629/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,2%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33.5C CPU@35C iwlwifi@34C PMIC@50C GPU@34C AO@44.5C thermal@34.5C POM_5V_IN 1972/2184 POM_5V_GPU 164/231 POM_5V_CPU 328/437
RAM 3185/3964MB (lfb 2x2MB) SWAP 629/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,1%@1479,2%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@33C CPU@35C iwlwifi@33C PMIC@50C GPU@34C AO@44.5C thermal@34.75C POM_5V_IN 1931/2178 POM_5V_GPU 164/229 POM_5V_CPU 328/434
