model,runtime,power_mode,status,error,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,memory_mb,model_size_mb,fps,power_avg_mw,power_max_mw
mobilenetv3_small_fp32.engine,tensorrt_fp32,5w,ok,,10.313206329345704,1.0084244589940352,9.2798433303833,14.807188034057617,10.005000114440918,12.405446147918699,14.177661647796635,0.58,11.94,96.96,2776.65,4085.0
mobilenetv3_small_fp16.engine,tensorrt_fp16,5w,ok,,14.526103057861327,1.8269267540007652,9.7485933303833,21.689844131469727,14.393749713897705,17.887793922424315,18.970901641845717,0.58,6.78,68.84,3039.2,3413.0
mobilenetv3_small_int8.engine,tensorrt_int8,5w,ok,,9.717374038696288,0.6132502295673131,9.433177947998047,13.217968940734863,9.538802146911621,10.43432354927063,12.525897216796878,0.58,12.24,102.91,3633.67,4159.0
