model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops
shufflenetv2,onnxrt_cpu,33,stage3/stage3.2/branch2/branch2.3,33. stage3/stage3.2/branch2/branch2.3 [conv],conv,0.7758,0.0,0.0,1
shufflenetv2,onnxrt_cpu,34,stage3/stage3.2/branch2/branch2.5,34. stage3/stage3.2/branch2/branch2.5 [conv],conv,0.6843,0.0,0.0,1
shufflenetv2,onnxrt_cpu,35,stage3/stage3.3,35. stage3/stage3.3 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.3334000000000001,0.0,0.0,32
shufflenetv2,onnxrt_cpu,36,stage3/stage3.3/branch2/branch2.0,36. stage3/stage3.3/branch2/branch2.0 [conv],conv,0.6987,0.0,0.0,2
shufflenetv2,onnxrt_cpu,37,stage3/stage3.3/branch2/branch2.3,37. stage3/stage3.3/branch2/branch2.3 [conv],conv,0.7966,0.0,0.0,1
shufflenetv2,onnxrt_cpu,38,stage3/stage3.3/branch2/branch2.5,38. stage3/stage3.3/branch2/branch2.5 [conv],conv,0.6917,0.0,0.0,2
shufflenetv2,onnxrt_cpu,39,stage3/stage3.4,39. stage3/stage3.4 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.2617,0.0,0.0,33
shufflenetv2,onnxrt_cpu,40,stage3/stage3.4/branch2/branch2.0,40. stage3/stage3.4/branch2/branch2.0 [conv],conv,0.6918,0.0,0.0,1
shufflenetv2,onnxrt_cpu,41,stage3/stage3.4/branch2/branch2.3,41. stage3/stage3.4/branch2/branch2.3 [conv],conv,0.7658,0.0,0.0,1
shufflenetv2,onnxrt_cpu,42,stage3/stage3.4/branch2/branch2.5,42. stage3/stage3.4/branch2/branch2.5 [conv],conv,0.6824,0.0,0.0,2
shufflenetv2,onnxrt_cpu,43,stage3/stage3.5,43. stage3/stage3.5 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.3477000000000001,0.0,0.0,32
shufflenetv2,onnxrt_cpu,44,stage3/stage3.5/branch2/branch2.0,44. stage3/stage3.5/branch2/branch2.0 [conv],conv,0.7013,0.0,0.0,2
shufflenetv2,onnxrt_cpu,45,stage3/stage3.5/branch2/branch2.3,45. stage3/stage3.5/branch2/branch2.3 [conv],conv,0.7696,0.0,0.0,2
shufflenetv2,onnxrt_cpu,46,stage3/stage3.5/branch2/branch2.5,46. stage3/stage3.5/branch2/branch2.5 [conv],conv,0.6879,0.0,0.0,1
