model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops
yolov8n,ncnn_vulkan,1,dummy_conv,01. dummy_conv [conv],conv,10.12,0.0,0.0,1
yolov8n,onnxrt_cpu,1,dummy_conv,01. dummy_conv [conv],conv,10.09,0.0,0.0,1
yolov8n,pytorch_cpu,1,dummy_conv,01. dummy_conv [conv],conv,10.09,0.0,0.0,1
yolov8n,pytorch_cuda,1,dummy_conv,01. dummy_conv [conv],conv,10.16,0.0,0.0,1
yolov8n,tensorrt_fp16,1,TensorRT layer 001,001. TensorRT layer 001 [conv],conv,10.17,0.0,0.0,1
yolov8n,tensorrt_fp32,1,TensorRT layer 001,001. TensorRT layer 001 [conv],conv,10.16,0.0,0.0,1
yolov8n,tensorrt_int8,1,TensorRT layer 001,001. TensorRT layer 001 [conv],conv,10.16,0.0,0.0,1
yolov8n,tflite_cpu,1,dummy_conv,01. dummy_conv [conv],conv,10.09,0.0,0.0,1
