model,runtime,power_mode,status,error,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,memory_mb,model_size_mb,fps,power_avg_mw,power_max_mw
mobilenetv3_small_fp32.engine,tensorrt_fp32,10w,ok,,7.180943713188172,0.5822316762834486,6.877552032470703,11.183124542236328,6.995910882949829,8.138510608673096,9.537301092147835,0.58,11.94,139.26,3787.14,6130.0
mobilenetv3_small_fp16.engine,tensorrt_fp16,10w,ok,,8.385270352363586,1.684343110240198,5.766302108764648,12.825103759765625,9.085311889648438,11.118411684036255,11.950965490341192,0.58,6.78,119.26,4375.0,4983.0
mobilenetv3_small_int8.engine,tensorrt_int8,10w,ok,,7.163457827568054,0.21461422058043506,6.997499942779541,8.827812194824219,7.091197490692139,7.468815803527832,7.707514128685004,0.58,12.24,139.6,4991.67,6100.0
