model,runtime,power_mode,status,error,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,memory_mb,model_size_mb,fps,power_avg_mw,power_max_mw
resnet50_fp32.engine,tensorrt_fp32,5w,ok,,79.16491477966309,0.72378797061277,78.38802337646484,85.59474182128906,79.10153579711914,79.6591079711914,79.97282554626467,0.58,121.75,12.63,3754.6,4943.0
resnet50_fp16.engine,tensorrt_fp16,5w,ok,,43.24811031341553,0.770570946885763,42.65073013305664,48.24187469482422,43.05567741394043,43.81516571044922,47.70521179199219,0.58,61.14,23.12,4245.86,4677.0
resnet50_int8.engine,tensorrt_int8,5w,ok,,78.79206733703613,1.5521673990378744,77.94234466552734,93.27489471435547,78.58806991577148,79.12075653076172,83.37752319335942,0.58,115.83,12.69,4424.61,4951.0
