co2_per_inference_mg,energy_per_inference_mj,latency_mean_ms,model,num_runs,power_avg_mw,power_mode,runtime,total_co2_mg,total_energy_mj
0.171223,1342.928827,391.1766,ssd_mobilenet_v2,200,3433.05,MAXN,tflite_cpu,34.2447,268585.7653
0.177267,1390.33295,402.4235,ssd_mobilenet_v2,200,3454.9,MAXN,tflite_gpu,35.4535,278066.59
0.070997,556.837061,102.3622,ssd_mobilenet_v2,200,5439.87,MAXN,ncnn_cpu,14.1993,111367.4122
0.029636,232.435322,44.3107,ssd_mobilenet_v2,200,5245.58,MAXN,ncnn_vulkan,5.9271,46487.0643
0.150697,1181.938786,474.3199,mobilenetv3_small,200,2491.86,5W,pytorch_cpu,30.1394,236387.7572
0.016367,128.366957,51.1192,mobilenetv3_small,200,2511.13,5W,pytorch_cuda,3.2734,25673.3913
0.003102,24.330848,9.6994,mobilenetv3_small,200,2508.49,5W,tensorrt_fp32,0.6204,4866.1696
0.004337,34.017549,13.6303,mobilenetv3_small,200,2495.73,5W,tensorrt_fp16,0.8674,6803.5097
0.003202,25.111796,9.6404,mobilenetv3_small,200,2604.85,5W,tensorrt_int8,0.6404,5022.3592
0.007485,58.705699,21.5987,mobilenetv3_small,200,2718.02,5W,onnxrt_cuda,1.497,11741.1397
0.003646,28.595537,12.1605,mobilenetv3_small,200,2351.51,5W,onnxrt_trt,0.7292,5719.1075
0.033577,263.346493,107.5125,mobilenetv3_small,200,2449.45,5W,tflite_cpu,6.7153,52669.2986
0.007418,58.177551,21.6849,mobilenetv3_small,200,2682.86,5W,ncnn_cpu,1.4835,11635.5102
0.003341,26.207048,10.6258,mobilenetv3_small,200,2466.36,5W,ncnn_vulkan,0.6683,5241.4096
0.654594,5134.072248,1870.4927,resnet50,200,2744.77,5W,pytorch_cpu,130.9188,1026814.4496
0.053673,420.964916,125.0999,resnet50,200,3365.03,5W,pytorch_cuda,10.7346,84192.9833
0.035403,277.668385,79.1423,resnet50,200,3508.47,5W,tensorrt_fp32,7.0805,55533.6771
0.018379,144.147784,43.2436,resnet50,200,3333.39,5W,tensorrt_fp16,3.6758,28829.5568
0.037287,292.447004,78.6057,resnet50,200,3720.43,5W,tensorrt_int8,7.4574,58489.4009
0.302646,2373.692586,645.7569,resnet50,200,3675.83,5W,onnxrt_cuda,60.5292,474738.5171
0.031982,250.837257,79.2332,resnet50,200,3165.81,5W,onnxrt_trt,6.3964,50167.4514
0.493621,3871.536785,1466.9802,resnet50,200,2639.12,5W,tflite_cpu,98.7242,774307.3571
0.377869,2963.680771,952.3457,resnet50,200,3111.98,5W,ncnn_cpu,75.5739,592736.1543
0.060192,472.094098,133.6423,resnet50,200,3532.52,5W,ncnn_vulkan,12.0384,94418.8195
0.512374,4018.622227,1618.976,efficientnet_b0,200,2482.2,5W,pytorch_cpu,102.4749,803724.4454
0.025576,200.59263,71.5942,efficientnet_b0,200,2801.8,5W,pytorch_cuda,5.1151,40118.5259
0.0143,112.159703,38.6314,efficientnet_b0,200,2903.33,5W,tensorrt_fp32,2.8601,22431.9405
0.012501,98.043694,31.1706,efficientnet_b0,200,3145.39,5W,tensorrt_fp16,2.5001,19608.7387
0.015099,118.420727,38.6391,efficientnet_b0,200,3064.79,5W,tensorrt_int8,3.0197,23684.1455
0.021296,167.029596,53.7747,efficientnet_b0,200,3106.1,5W,onnxrt_cuda,4.2593,33405.9191
0.012018,94.261304,39.0599,efficientnet_b0,200,2413.25,5W,onnxrt_trt,2.4037,18852.2607
0.141518,1109.944099,453.5234,efficientnet_b0,200,2447.38,5W,tflite_cpu,28.3036,221988.8197
0.052602,412.563907,149.8603,efficientnet_b0,200,2752.99,5W,ncnn_cpu,10.5204,82512.7815
0.012575,98.624216,32.6024,efficientnet_b0,200,3025.06,5W,ncnn_vulkan,2.5149,19724.8432
0.136955,1074.155668,437.2868,shufflenet_v2_x1_0,200,2456.41,5W,pytorch_cpu,27.391,214831.1337
0.015144,118.774953,47.106,shufflenet_v2_x1_0,200,2521.44,5W,pytorch_cuda,3.0288,23754.9905
0.003486,27.338175,11.1792,shufflenet_v2_x1_0,200,2445.45,5W,tensorrt_fp32,0.6971,5467.6349
0.003565,27.961424,10.7623,shufflenet_v2_x1_0,200,2598.09,5W,tensorrt_fp16,0.713,5592.2848
0.003616,28.358488,11.1904,shufflenet_v2_x1_0,200,2534.18,5W,tensorrt_int8,0.7231,5671.6976
0.009455,74.159754,27.6403,shufflenet_v2_x1_0,200,2683.03,5W,onnxrt_cuda,1.8911,14831.9508
0.003683,28.888916,12.1023,shufflenet_v2_x1_0,200,2387.06,5W,onnxrt_trt,0.7367,5777.7832
0.014292,112.091031,41.0432,shufflenet_v2_x1_0,200,2731.05,5W,ncnn_cpu,2.8583,22418.2063
0.005501,43.147362,15.8368,shufflenet_v2_x1_0,200,2724.5,5W,ncnn_vulkan,1.1003,8629.4723
0.900118,7059.752258,2517.7074,yolov8n,200,2804.04,5W,pytorch_cpu,180.0237,1411950.4516
0.061096,479.187491,133.091,yolov8n,200,3600.45,5W,pytorch_cuda,12.2193,95837.4982
0.057742,452.881367,111.1589,yolov8n,200,4074.18,5W,tensorrt_fp32,11.5485,90576.2734
0.042063,329.907041,86.8581,yolov8n,200,3798.23,5W,tensorrt_fp16,8.4126,65981.4082
0.059226,464.51689,110.7559,yolov8n,200,4194.06,5W,tensorrt_int8,11.8452,92903.378
0.079314,622.071931,150.2074,yolov8n,200,4141.42,5W,onnxrt_cuda,15.8628,124414.3861
0.061359,481.246893,108.1167,yolov8n,200,4451.18,5W,onnxrt_trt,12.2718,96249.3785
0.566314,4441.68062,1795.1334,yolov8n,200,2474.29,5W,tflite_cpu,113.2629,888336.1241
0.563237,4417.543125,1789.2541,yolov8n,200,2468.93,5W,tflite_gpu,112.6473,883508.625
0.676083,5302.61176,2111.072,ssd_mobilenet_v2,200,2511.81,5W,pytorch_cpu,135.2166,1060522.3521
0.036218,284.065412,88.1936,ssd_mobilenet_v2,200,3220.93,5W,pytorch_cuda,7.2437,56813.0824
0.020597,161.542081,47.7287,ssd_mobilenet_v2,200,3384.59,5W,tensorrt_fp32,4.1193,32308.4161
0.018692,146.60165,43.6534,ssd_mobilenet_v2,200,3358.31,5W,tensorrt_fp16,3.7383,29320.33
0.020555,161.21935,46.9804,ssd_mobilenet_v2,200,3431.63,5W,tensorrt_int8,4.1111,32243.87
0.034945,274.074689,81.7716,ssd_mobilenet_v2,200,3351.71,5W,onnxrt_cuda,6.9889,54814.9379
0.014623,114.692312,44.8934,ssd_mobilenet_v2,200,2554.77,5W,onnxrt_trt,2.9247,22938.4623
0.178846,1402.715508,561.0301,ssd_mobilenet_v2,200,2500.25,5W,tflite_cpu,35.7692,280543.1015
0.178192,1397.581179,558.2643,ssd_mobilenet_v2,200,2503.44,5W,tflite_gpu,35.6383,279516.2358
0.084973,666.45317,230.7184,ssd_mobilenet_v2,200,2888.6,5W,ncnn_cpu,16.9946,133290.634
0.027665,216.983642,63.7812,ssd_mobilenet_v2,200,3402.0,5W,ncnn_vulkan,5.5331,43396.7285
