co2_per_inference_mg,energy_per_inference_mj,error,final_class,mean_ms,memory_mb,model,model_size_mb,num_runs,p50_ms,p95_ms,p99_ms,power_avg_mw,power_max_mw,power_mode,runtime,source_path,status,status_reason,std_ms,total_co2_mg,total_energy_mj
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,resnet50,,,,,,2465.33,2605.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_tflite_gpu,error,runtime_error,,,
0.169499,1329.40664,,measured,242.7701,11.86,resnet50,97.39,200,240.1211,253.3274,302.9185,5475.99,5713.0,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_ncnn_cpu,ok,ok,13.1175,33.8999,265881.328
0.059644,467.798374,,measured,91.7437,1.65,resnet50,97.39,200,91.7234,92.4823,93.9071,5098.97,6523.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/resnet50_ncnn_vulkan,ok,ok,0.5798,11.9289,93559.6748
0.767367,6018.563698,,measured,1267.3115,18.23,efficientnet_b0,20.33,200,1300.3402,1531.1095,1571.4299,4749.08,5079.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_pytorch_cpu,ok,ok,212.4369,153.4734,1203712.7397
0.025437,199.507774,,measured,44.5687,30.94,efficientnet_b0,20.33,200,42.9161,49.9032,58.1406,4476.41,6090.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_pytorch_cuda,ok,ok,3.5969,5.0874,39901.5549
0.014125,110.78661,,measured,27.4872,0.58,efficientnet_b0,25.22,200,27.4032,27.8095,28.0882,4030.48,6742.0,MAXN,tensorrt_fp32,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_tensorrt_fp32,ok,ok,0.2443,2.8251,22157.322
0.012704,99.641841,,measured,22.1576,0.58,efficientnet_b0,14.59,200,22.0907,22.4872,22.5667,4496.96,6569.0,MAXN,tensorrt_fp16,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_tensorrt_fp16,ok,ok,0.1605,2.5409,19928.3682
0.016425,128.826619,,measured,27.5443,0.58,efficientnet_b0,24.22,200,27.467,27.8823,28.0702,4677.07,6697.0,MAXN,tensorrt_int8,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_tensorrt_int8,ok,ok,0.1849,3.2851,25765.3238
0.023899,187.442228,,measured,39.5076,387.63,efficientnet_b0,20.16,200,39.3301,40.2599,40.4064,4744.46,7249.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_onnxrt_cuda,ok,ok,0.3469,4.7798,37488.4456
0.012503,98.065817,,measured,27.935,833.79,efficientnet_b0,20.16,200,27.6999,28.7144,30.7244,3510.5,6999.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_onnxrt_trt,ok,ok,0.5704,2.5007,19613.1635
0.121151,950.206334,,measured,277.5719,46.24,efficientnet_b0,20.16,200,277.058,283.8336,288.3454,3423.28,3784.0,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_tflite_cpu,ok,ok,3.8435,24.2303,190041.2668
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,efficientnet_b0,,,,,,2636.33,2844.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_tflite_gpu,error,runtime_error,,,
0.041547,325.860662,,measured,63.1808,24.27,efficientnet_b0,20.09,200,60.0256,71.0135,73.359,5157.59,5325.0,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_ncnn_cpu,ok,ok,8.2189,8.3094,65172.1325
0.011764,92.263738,,measured,23.2369,2.46,efficientnet_b0,20.09,200,22.9699,24.945,26.8533,3970.57,5277.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_ncnn_vulkan,ok,ok,0.7591,2.3527,18452.7476
0.215751,1692.161748,,measured,363.3572,13.8,shufflenet_v2_x1_0,8.75,200,394.4917,424.636,457.1913,4657.02,4912.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_pytorch_cpu,ok,ok,66.8335,43.1501,338432.3495
0.015231,119.456713,,measured,30.7417,11.7,shufflenet_v2_x1_0,8.75,200,29.8055,34.8427,39.2838,3885.82,4864.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_pytorch_cuda,ok,ok,2.2414,3.0461,23891.3425
0.00339,26.588679,,measured,8.1801,0.58,shufflenet_v2_x1_0,9.17,200,8.13,8.326,9.2836,3250.41,6297.0,MAXN,tensorrt_fp32,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_tensorrt_fp32,ok,ok,0.2087,0.678,5317.7358
0.003343,26.219781,,measured,7.3446,0.58,shufflenet_v2_x1_0,5.35,200,7.2845,7.4563,8.1982,3569.94,6228.0,MAXN,tensorrt_fp16,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_tensorrt_fp16,ok,ok,0.3334,0.6686,5243.9563
0.003951,30.98447,,measured,8.1624,0.58,shufflenet_v2_x1_0,9.25,200,7.974,9.2539,10.6077,3796.0,6630.0,MAXN,tensorrt_int8,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_tensorrt_int8,ok,ok,0.5726,0.7901,6196.8941
