co2_per_inference_mg,energy_per_inference_mj,error,final_class,mean_ms,memory_mb,model,model_size_mb,num_runs,p50_ms,p95_ms,p99_ms,power_avg_mw,power_max_mw,power_mode,runtime,source_path,status,status_reason,std_ms,total_co2_mg,total_energy_mj
0.493621,3871.536785,,measured,1466.9802,198.24,resnet50,97.43,200,1459.8657,1522.7661,1550.7628,2639.12,2912.0,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/resnet50_tflite_cpu,ok,ok,27.8836,98.7242,774307.3571
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,resnet50,,,,,,2266.0,2438.0,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/resnet50_tflite_gpu,error,runtime_error,,,
0.377869,2963.680771,,measured,952.3457,12.12,resnet50,97.39,200,846.7708,1590.2119,1810.9589,3111.98,3514.0,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/resnet50_ncnn_cpu,ok,ok,360.0332,75.5739,592736.1543
0.060192,472.094098,,measured,133.6423,1.77,resnet50,97.39,200,133.5166,134.4607,134.6503,3532.52,4080.0,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/resnet50_ncnn_vulkan,ok,ok,0.3719,12.0384,94418.8195
0.512374,4018.622227,,measured,1618.976,22.34,efficientnet_b0,20.33,200,1557.3427,2127.849,2252.4783,2482.2,2714.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_pytorch_cpu,ok,ok,285.408,102.4749,803724.4454
0.025576,200.59263,,measured,71.5942,30.94,efficientnet_b0,20.33,200,72.8642,82.9681,94.7248,2801.8,3778.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_pytorch_cuda,ok,ok,6.0041,5.1151,40118.5259
0.0143,112.159703,,measured,38.6314,0.58,efficientnet_b0,25.22,200,38.592,38.8,38.9205,2903.33,4320.0,5W,tensorrt_fp32,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_tensorrt_fp32,ok,ok,0.3378,2.8601,22431.9405
0.012501,98.043694,,measured,31.1706,0.58,efficientnet_b0,14.59,200,31.1583,31.3179,31.3922,3145.39,4400.0,5W,tensorrt_fp16,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_tensorrt_fp16,ok,ok,0.0712,2.5001,19608.7387
0.015099,118.420727,,measured,38.6391,0.58,efficientnet_b0,24.22,200,38.6378,38.7261,38.7533,3064.79,4052.0,5W,tensorrt_int8,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_tensorrt_int8,ok,ok,0.0593,3.0197,23684.1455
0.021296,167.029596,,measured,53.7747,382.82,efficientnet_b0,20.16,200,53.7536,53.8641,54.1669,3106.1,4326.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_onnxrt_cuda,ok,ok,0.1917,4.2593,33405.9191
0.012018,94.261304,,measured,39.0599,763.39,efficientnet_b0,20.16,200,39.0372,39.2345,39.4856,2413.25,4253.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_onnxrt_trt,ok,ok,0.1189,2.4037,18852.2607
0.141518,1109.944099,,measured,453.5234,45.95,efficientnet_b0,20.16,200,451.6942,464.5245,503.3315,2447.38,2641.0,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_tflite_cpu,ok,ok,9.0721,28.3036,221988.8197
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,efficientnet_b0,,,,,,2164.8,2245.0,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_tflite_gpu,error,runtime_error,,,
0.052602,412.563907,,measured,149.8603,24.39,efficientnet_b0,20.09,200,147.407,154.4414,199.3021,2752.99,2844.0,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_ncnn_cpu,ok,ok,10.1961,10.5204,82512.7815
0.012575,98.624216,,measured,32.6024,2.38,efficientnet_b0,20.09,200,32.5847,32.7521,32.9002,3025.06,3357.0,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_ncnn_vulkan,ok,ok,0.2184,2.5149,19724.8432
0.136955,1074.155668,,measured,437.2868,10.27,shufflenet_v2_x1_0,8.75,200,448.9422,617.5768,672.8546,2456.41,2564.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_pytorch_cpu,ok,ok,132.7539,27.391,214831.1337
0.015144,118.774953,,measured,47.106,11.7,shufflenet_v2_x1_0,8.75,200,45.742,56.3033,68.5986,2521.44,3200.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_pytorch_cuda,ok,ok,4.4685,3.0288,23754.9905
0.003486,27.338175,,measured,11.1792,0.58,shufflenet_v2_x1_0,9.17,200,11.1546,11.2111,12.384,2445.45,3898.0,5W,tensorrt_fp32,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_tensorrt_fp32,ok,ok,0.1777,0.6971,5467.6349
0.003565,27.961424,,measured,10.7623,0.58,shufflenet_v2_x1_0,5.35,200,10.2268,11.8497,12.7238,2598.09,3938.0,5W,tensorrt_fp16,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_tensorrt_fp16,ok,ok,0.6992,0.713,5592.2848
0.003616,28.358488,,measured,11.1904,0.58,shufflenet_v2_x1_0,9.25,200,11.1292,11.4034,14.1093,2534.18,3864.0,5W,tensorrt_int8,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_tensorrt_int8,ok,ok,0.4111,0.7231,5671.6976
0.009455,74.159754,,measured,27.6403,390.51,shufflenet_v2_x1_0,8.82,200,28.9622,29.5733,30.9987,2683.03,3432.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_onnxrt_cuda,ok,ok,2.7203,1.8911,14831.9508
0.003683,28.888916,,measured,12.1023,981.59,shufflenet_v2_x1_0,8.82,200,11.8015,12.8138,13.2948,2387.06,3784.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_onnxrt_trt,ok,ok,0.5249,0.7367,5777.7832
,,file missing,na,,,shufflenet_v2_x1_0,,,,,,,,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_tflite_cpu,na,file_missing,,,
,,file missing,na,,,shufflenet_v2_x1_0,,,,,,,,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_tflite_gpu,na,file_missing,,,
0.014292,112.091031,,measured,41.0432,3.96,shufflenet_v2_x1_0,8.66,200,40.2381,46.1273,46.6525,2731.05,2763.0,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_ncnn_cpu,ok,ok,2.3063,2.8583,22418.2063
0.005501,43.147362,,measured,15.8368,2.26,shufflenet_v2_x1_0,8.66,200,15.7765,15.9611,17.916,2724.5,3397.0,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/shufflenet_v2_x1_0_ncnn_vulkan,ok,ok,0.3292,1.1003,8629.4723
0.900118,7059.752258,,measured,2517.7074,134.0,yolov8n,12.42,200,2514.6544,2712.6096,2759.7068,2804.04,3210.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/yolov8n_pytorch_cpu.json,ok,ok,116.5596,180.0237,1411950.4516
0.061096,479.187491,,measured,133.091,471.0,yolov8n,12.42,200,131.7367,138.2713,157.071,3600.45,5116.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/yolov8n_pytorch_cuda.json,ok,ok,4.6326,12.2193,95837.4982
0.057742,452.881367,,measured,111.1589,225.0,yolov8n,27.39,200,109.9645,116.06,116.9844,4074.18,4753.0,5W,tensorrt_fp32,results/clean_v2_20260512_131735/latency/5W/yolov8n_tensorrt_fp32.json,ok,ok,2.7954,11.5485,90576.2734
0.042063,329.907041,,measured,86.8581,236.0,yolov8n,15.83,200,84.6371,95.4971,111.2064,3798.23,4602.0,5W,tensorrt_fp16,results/clean_v2_20260512_131735/latency/5W/yolov8n_tensorrt_fp16.json,ok,ok,5.106,8.4126,65981.4082
0.059226,464.51689,,measured,110.7559,216.0,yolov8n,27.22,200,109.6996,115.891,117.0314,4194.06,4825.0,5W,tensorrt_int8,results/clean_v2_20260512_131735/latency/5W/yolov8n_tensorrt_int8.json,ok,ok,2.9622,11.8452,92903.378
0.079314,622.071931,,measured,150.2074,227.0,yolov8n,12.18,200,149.6105,154.7387,155.9976,4141.42,4801.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/yolov8n_onnxrt_cuda.json,ok,ok,1.7456,15.8628,124414.3861
0.061359,481.246893,,measured,108.1167,0.0,yolov8n,12.18,200,106.5763,113.3392,114.0018,4451.18,4864.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/yolov8n_onnxrt_trt.json,ok,ok,3.3864,12.2718,96249.3785
0.566314,4441.68062,,measured,1795.1334,33.0,yolov8n,12.18,200,1795.002,1812.9017,1816.4219,2474.29,2912.0,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/yolov8n_tflite_cpu.json,ok,ok,9.8921,113.2629,888336.1241
0.563237,4417.543125,,measured,1789.2541,51.0,yolov8n,12.18,200,1786.7629,1808.4612,1824.1076,2468.93,2871.0,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/yolov8n_tflite_gpu.json,ok,ok,14.7151,112.6473,883508.625
,,file missing,na,,,yolov8n,,,,,,,,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/yolov8n_ncnn_cpu,na,file_missing,,,
,,file missing,na,,,yolov8n,,,,,,,,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/yolov8n_ncnn_vulkan,na,file_missing,,,
0.676083,5302.61176,,measured,2111.072,47.0,ssd_mobilenet_v2,23.5,200,2078.3893,2669.0166,2739.3545,2511.81,2835.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_pytorch_cpu.json,ok,ok,295.0299,135.2166,1060522.3521
0.036218,284.065412,,measured,88.1936,412.0,ssd_mobilenet_v2,23.5,200,86.5224,94.9799,102.6871,3220.93,4418.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_pytorch_cuda.json,ok,ok,4.8887,7.2437,56813.0824
0.020597,161.542081,,measured,47.7287,203.0,ssd_mobilenet_v2,24.49,200,46.4344,52.9695,56.7274,3384.59,3886.0,5W,tensorrt_fp32,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_tensorrt_fp32.json,ok,ok,2.5237,4.1193,32308.4161
0.018692,146.60165,,measured,43.6534,216.0,ssd_mobilenet_v2,13.57,200,43.0948,45.9585,47.3106,3358.31,3800.0,5W,tensorrt_fp16,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_tensorrt_fp16.json,ok,ok,1.1569,3.7383,29320.33
0.020555,161.21935,,measured,46.9804,164.0,ssd_mobilenet_v2,23.67,200,46.3487,49.0523,52.6756,3431.63,3846.0,5W,tensorrt_int8,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_tensorrt_int8.json,ok,ok,1.3386,4.1111,32243.87
0.034945,274.074689,,measured,81.7716,228.0,ssd_mobilenet_v2,23.23,200,80.7474,88.3054,89.7231,3351.71,4146.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_onnxrt_cuda.json,ok,ok,2.5628,6.9889,54814.9379
0.014623,114.692312,,measured,44.8934,1001.0,ssd_mobilenet_v2,23.23,200,44.5184,46.4329,49.163,2554.77,3993.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_onnxrt_trt.json,ok,ok,0.9587,2.9247,22938.4623
0.178846,1402.715508,,measured,561.0301,2.0,ssd_mobilenet_v2,23.16,200,560.8674,568.6658,570.5177,2500.25,2790.0,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_tflite_cpu.json,ok,ok,4.3709,35.7692,280543.1015
0.178192,1397.581179,,measured,558.2643,2.0,ssd_mobilenet_v2,23.16,200,557.9017,565.6708,573.2046,2503.44,2790.0,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_tflite_gpu.json,ok,ok,4.4116,35.6383,279516.2358
0.084973,666.45317,,measured,230.7184,32.0,ssd_mobilenet_v2,23.12,200,226.7196,250.021,297.9213,2888.6,2993.0,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_ncnn_cpu.json,ok,ok,24.2012,16.9946,133290.634
0.027665,216.983642,,measured,63.7812,0.0,ssd_mobilenet_v2,23.12,200,61.5347,71.5647,73.1287,3402.0,3496.0,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/ssd_mobilenet_v2_ncnn_vulkan.json,ok,ok,3.7514,5.5331,43396.7285
