model,runtime,power_mode,status,error,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,memory_mb,model_size_mb,fps,power_avg_mw,power_max_mw
yolov8n_fp32.engine,tensorrt_fp32,5w,ok,,100.83126243591309,1.099971654798823,100.15348815917969,106.38333129882812,100.5793228149414,101.42430381774902,106.25700569152832,7.38,27.39,9.92,3633.79,5144.0
yolov8n_fp16.engine,tensorrt_fp16,5w,ok,,75.99830291748047,2.397438544999461,74.57640838623047,83.86203002929688,74.85557556152344,81.76192474365234,83.43271934509278,7.38,15.83,13.16,3828.34,4830.0
yolov8n_int8.engine,tensorrt_int8,5w,ok,,100.11894454956055,0.6079113345915125,99.5886459350586,104.20734405517578,100.0439567565918,100.47449836730956,103.51223220825196,7.38,27.22,9.99,4515.35,5176.0
