layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
117,features.10.block.2.fc2,Conv2d,"Conv2d(144, 576, kernel_size=(1, 1), stride=(1, 1))",1x144x1x1,1x576x1x1,83520,83520,144,576,1x1,1x1,0x0,1x1,1,True,100,0.651538,0.064707,0.596418,1.114865,0.6247,0.745137,0,0,1777375198.9239051
118,features.10.block.2.scale_activation,Hardsigmoid,Hardsigmoid(),1x576x1x1,1x576x1x1,0,0,,,,,,,,False,100,0.254288,0.022661,0.236567,0.385112,0.244198,0.290938,0,0,1777375198.9242952
119,features.10.block.3.0,Conv2d,"Conv2d(576, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x576x7x7,1x96x7x7,55296,55296,576,96,1x1,1x1,0x0,1x1,1,False,100,0.527127,0.042053,0.486936,0.787046,0.512302,0.587261,0,0,1777375198.9251206
120,features.10.block.3.1,BatchNorm2d,"BatchNorm2d(96, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x96x7x7,1x96x7x7,192,192,,,,,,,,True,100,0.397182,0.022673,0.372143,0.491364,0.387351,0.43509,0,0,1777375198.9256184
121,features.11.block.0.0,Conv2d,"Conv2d(96, 576, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x96x7x7,1x576x7x7,55296,55296,96,576,1x1,1x1,0x0,1x1,1,False,100,0.528669,0.033153,0.489958,0.754233,0.516495,0.57012,0,0,1777375198.9264545
122,features.11.block.0.1,BatchNorm2d,"BatchNorm2d(576, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x576x7x7,1x576x7x7,1152,1152,,,,,,,,True,100,0.378575,0.019448,0.357611,0.480374,0.372898,0.409487,0,0,1777375198.9269266
123,features.11.block.0.2,Hardswish,Hardswish(),1x576x7x7,1x576x7x7,0,0,,,,,,,,False,100,0.237397,0.015871,0.221775,0.307506,0.229249,0.264922,0,0,1777375198.9272761
124,features.11.block.1.0,Conv2d,"Conv2d(576, 576, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2), groups=576, bias=False)",1x576x7x7,1x576x7x7,14400,14400,576,576,5x5,1x1,2x2,1x1,576,False,100,0.478405,0.017056,0.442925,0.598293,0.475609,0.50955,0,0,1777375198.9278796
125,features.11.block.1.1,BatchNorm2d,"BatchNorm2d(576, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x576x7x7,1x576x7x7,1152,1152,,,,,,,,True,100,0.393018,0.064394,0.357246,0.941737,0.374513,0.451192,0,0,1777375198.9283857
126,features.11.block.1.2,Hardswish,Hardswish(),1x576x7x7,1x576x7x7,0,0,,,,,,,,False,100,0.235488,0.023254,0.216254,0.333444,0.224666,0.290531,0,0,1777375198.9287393
