layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
71,features.4.0.block.1.0,Conv2d,"Conv2d(240, 240, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=240, bias=False)",1x240x28x28,1x240x14x14,2160,2160,240,240,3x3,2x2,1x1,1x1,240,False,100,0.432139,0.038309,0.378758,0.75908,0.425374,0.474177,0,0,1777375489.6798294
72,features.4.0.block.1.1,BatchNorm2d,"BatchNorm2d(240, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x240x14x14,1x240x14x14,480,480,,,,,,,,True,100,0.393946,0.067698,0.355529,0.97747,0.373628,0.464604,0,0,1777375489.6803906
73,features.4.0.block.1.2,SiLU,SiLU(inplace=True),1x240x14x14,1x240x14x14,0,0,,,,,,,,False,100,0.237869,0.031986,0.208859,0.395217,0.221073,0.312668,0,0,1777375489.680785
74,features.4.0.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x240x14x14,1x240x1x1,0,0,,,,,,,,False,100,0.314035,0.143861,0.268287,1.65738,0.281751,0.350669,0,0,1777375489.6812706
75,features.4.0.block.2.fc1,Conv2d,"Conv2d(240, 10, kernel_size=(1, 1), stride=(1, 1))",1x240x1x1,1x10x1x1,2410,2410,240,10,1x1,1x1,0x0,1x1,1,True,100,0.693118,0.063723,0.619284,0.835956,0.658479,0.808724,0,0,1777375489.6821692
76,features.4.0.block.2.activation,SiLU,SiLU(inplace=True),1x10x1x1,1x10x1x1,0,0,,,,,,,,False,100,0.240721,0.026626,0.211827,0.298027,0.227583,0.291546,0,0,1777375489.6825755
77,features.4.0.block.2.fc2,Conv2d,"Conv2d(10, 240, kernel_size=(1, 1), stride=(1, 1))",1x10x1x1,1x240x1x1,2640,2640,10,240,1x1,1x1,0x0,1x1,1,True,100,0.64505,0.063817,0.577929,0.84606,0.61668,0.747629,0,0,1777375489.6834195
78,features.4.0.block.2.scale_activation,Sigmoid,Sigmoid(),1x240x1x1,1x240x1x1,0,0,,,,,,,,False,100,0.246965,0.025053,0.22339,0.360373,0.233938,0.282449,0,0,1777375489.6839213
79,features.4.0.block.3.0,Conv2d,"Conv2d(240, 80, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x240x14x14,1x80x14x14,19200,19200,240,80,1x1,1x1,0x0,1x1,1,False,100,0.555992,0.027794,0.516366,0.643868,0.545949,0.605159,0,0,1777375489.6849868
80,features.4.0.block.3.1,BatchNorm2d,"BatchNorm2d(80, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x80x14x14,1x80x14x14,160,160,,,,,,,,True,100,0.398306,0.026547,0.366884,0.525636,0.387249,0.431376,0,0,1777375489.6855986
