model,runtime,power_mode,num_runs,model_size_mb,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,fps,memory_gpu_mb,ram_mean_mb,ram_max_mb,ram_min_mb,ram_delta_mb,power_in_mean_mw,power_in_max_mw,power_cpu_mean_mw,power_gpu_mean_mw,gpu_util_mean_pct,cpu_util_mean_pct,temp_cpu_mean_c,temp_gpu_mean_c,wall_time_s,energy_per_inference_mj,co2_per_inference_mg,total_energy_mj,total_co2_mg,source_dir
efficientnet_b0,tflite_cpu,10w,100,20.16,279.66,4.53,275.05,304.1,278.22,287.07,298.1,3.58,16.98,3623.5,3643.0,3620.0,23.0,3480.41,4048.0,1547.41,163.76,0.0,40.53,40.03,40.57,31.67,973.3347,124.100171,97333.47,12410.0171,efficientnet_b0_10w_20260501_033641
efficientnet_b0,tflite_cpu,5w,100,20.16,447.88,5.03,439.59,465.96,447.13,457.58,465.94,2.23,15.97,3541.2,3542.0,3539.0,3.0,2461.24,2559.0,716.93,82.0,0.0,35.87,35.16,35.93,50.25,1102.3352,140.547742,110233.52,14054.7742,efficientnet_b0_5w_20260501_035648
efficientnet_b0,tflite_gpu,10w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3587.7,3615.0,3569.0,46.0,2511.67,3045.0,613.22,164.67,0.0,9.61,37.94,39.5,4.15,0.0,0.0,0.0,0.0,efficientnet_b0_10w_20260501_033641
efficientnet_b0,tflite_gpu,5w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3491.2,3522.0,3456.0,66.0,2167.5,2476.0,371.42,82.0,0.0,10.94,34.12,35.5,6.33,0.0,0.0,0.0,0.0,efficientnet_b0_5w_20260501_035648
mobilenetv3_small,ncnn_cpu,10w,100,9.68,9.47,0.87,9.15,14.23,9.23,10.48,14.14,105.61,0.12,3421.0,3421.0,3421.0,0.0,3995.5,5662.0,2034.5,162.75,0.0,68.38,37.38,36.88,1.29,37.8334,4.82376,3783.34,482.376,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,ncnn_cpu,5w,100,9.68,19.11,1.21,18.49,24.58,18.73,21.52,24.53,52.33,0.19,3481.8,3483.0,3477.0,6.0,2879.2,2921.0,1035.8,82.0,0.0,49.45,34.4,34.0,2.39,55.0175,7.014727,5501.75,701.4727,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,ncnn_vulkan,10w,100,9.68,9.42,0.75,9.14,14.26,9.24,10.43,14.07,106.14,0.0,3421.5,3425.0,3419.0,6.0,3913.0,5572.0,1972.0,163.0,0.0,65.94,36.88,36.75,1.52,36.8651,4.700304,3686.51,470.0304,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,ncnn_vulkan,5w,100,9.68,19.29,1.58,18.4,26.38,18.73,24.09,26.21,51.84,0.0,3471.0,3477.0,3469.0,8.0,2642.17,2880.0,870.17,82.0,0.0,41.67,33.75,33.92,2.49,50.9631,6.497798,5096.31,649.7798,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,onnxrt_cuda,10w,100,9.71,11.11,0.14,10.89,11.56,11.11,11.35,11.51,90.0,0.0,3796.8,3844.0,3753.0,91.0,3016.1,5837.0,802.84,455.61,8.82,15.65,35.75,36.97,22.13,33.5127,4.272874,3351.27,427.2874,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,onnxrt_cuda,5w,100,9.71,20.49,3.66,16.44,34.49,20.32,29.8,31.22,48.81,0.0,3686.8,3737.0,3650.0,87.0,2588.76,3797.0,543.74,293.83,15.71,27.9,33.42,34.06,18.9,53.0376,6.762293,5303.76,676.2293,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,onnxrt_tensorrt,10w,100,9.71,7.34,0.23,7.11,8.48,7.39,7.67,8.33,136.17,0.0,3613.9,3840.0,3510.0,330.0,3039.71,5806.0,1038.84,323.74,6.7,23.26,36.24,37.29,137.11,22.3222,2.846078,2232.22,284.6078,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,onnxrt_tensorrt,5w,100,9.71,11.11,0.45,10.88,14.96,11.05,11.23,13.26,90.03,0.0,3592.1,3690.0,3560.0,130.0,2314.5,3686.0,523.74,165.14,6.43,25.14,33.4,34.36,167.45,25.7071,3.27766,2570.71,327.766,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,pytorch_cpu,10w,100,9.75,292.57,92.23,157.36,396.87,323.69,391.58,394.17,3.42,13.78,1533.7,1546.0,1415.0,131.0,4715.95,5193.0,2991.34,162.18,0.0,95.43,39.54,38.53,40.65,1379.7448,175.917468,137974.48,17591.7468,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,pytorch_cpu,5w,100,9.75,436.14,116.88,255.74,611.61,452.72,581.1,604.52,2.29,10.11,1168.9,1180.0,1054.0,126.0,2453.68,2559.0,817.38,82.0,0.0,47.72,35.27,35.55,57.45,1070.1522,136.444401,107015.22,13644.4401,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,pytorch_cuda,10w,100,9.75,25.17,0.6,24.45,28.06,24.98,25.95,27.59,39.73,12.29,2551.6,3245.0,1556.0,1689.0,3125.7,4721.0,1027.57,369.13,5.79,22.95,37.33,38.5,21.74,78.6751,10.031081,7867.51,1003.1081,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,pytorch_cuda,5w,100,9.75,37.53,0.6,37.02,41.19,37.34,38.18,40.5,26.65,12.29,2146.2,2848.0,1189.0,1659.0,2299.37,2843.0,444.98,167.56,4.26,20.96,34.16,35.1,29.41,86.2846,11.001284,8628.46,1100.1284,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,tensorrt_fp16,10w,100,6.86,6.63,1.57,5.59,10.07,5.65,9.94,10.06,150.94,0.58,3789.8,3796.0,3784.0,12.0,3377.38,6229.0,872.75,663.75,20.5,16.34,36.69,37.56,3.53,22.3756,2.852884,2237.56,285.2884,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,tensorrt_fp16,5w,100,6.86,10.49,2.37,8.22,17.99,9.1,14.76,17.83,95.35,0.58,3685.3,3693.0,3678.0,15.0,2376.2,3727.0,381.53,243.33,9.13,18.32,33.5,34.67,6.76,24.9214,3.177474,2492.14,317.7474,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,tensorrt_fp32,10w,100,11.9,7.01,0.22,6.82,8.14,6.89,7.41,7.45,142.61,0.58,3693.3,3848.0,3222.0,626.0,2766.7,6239.0,795.06,213.04,1.54,14.3,36.69,37.74,38.35,19.3999,2.473488,1939.99,247.3488,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,tensorrt_fp32,5w,100,11.9,12.87,4.06,9.39,30.14,11.27,25.48,27.99,77.73,0.58,3549.7,3731.0,2848.0,883.0,2286.73,3487.0,420.79,103.52,1.38,18.79,33.66,34.76,54.0,29.4205,3.751114,2942.05,375.1114,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,tensorrt_int8,10w,100,12.4,6.58,0.41,6.49,10.58,6.53,6.63,6.92,151.93,0.58,3789.7,3800.0,3777.0,23.0,2802.08,6149.0,652.75,405.92,7.75,11.69,35.75,37.21,4.92,18.4434,2.351532,1844.34,235.1532,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,tensorrt_int8,5w,100,12.4,9.55,0.23,9.23,10.72,9.5,10.01,10.27,104.67,0.58,3680.0,3686.0,3662.0,24.0,2446.91,3844.0,392.64,316.27,15.91,14.66,33.32,34.45,4.55,23.3771,2.980577,2337.71,298.0577,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,tflite_cpu,10w,100,11.99,62.3,0.75,61.64,65.27,62.03,63.97,65.01,16.05,8.74,3452.9,3483.0,3449.0,34.0,3194.53,3487.0,1355.53,164.13,0.0,38.13,37.2,37.73,8.49,199.0213,25.375211,19902.13,2537.5211,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,tflite_cpu,5w,100,11.99,99.2,2.5,95.45,108.01,98.76,103.85,106.47,10.08,10.4,3549.8,3551.0,3547.0,4.0,2399.12,2476.0,682.58,82.0,0.0,38.85,34.12,34.48,12.29,237.9927,30.344073,23799.27,3034.4073,mobilenetv3_small_5w_20260430_232058
mobilenetv3_small,tflite_gpu,10w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3428.4,3439.0,3426.0,13.0,2470.2,3199.0,605.5,164.7,0.0,7.65,35.7,37.0,4.79,0.0,0.0,0.0,0.0,mobilenetv3_small_10w_20260430_230405
mobilenetv3_small,tflite_gpu,5w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520.3,3546.0,3491.0,55.0,2072.0,2232.0,276.7,82.0,0.0,10.72,32.65,34.3,5.06,0.0,0.0,0.0,0.0,mobilenetv3_small_5w_20260430_232058
yolov8n,ncnn_cpu,10w,100,12.12,278.73,4.03,273.8,299.77,278.39,285.13,289.53,3.59,80.56,1290.7,1294.0,1275.0,19.0,5223.0,5572.0,3099.85,40.0,0.0,90.65,36.93,35.34,30.98,1455.7993,185.614413,145579.93,18561.4413,yolov8n_10w_20260501_231427
yolov8n,ncnn_cpu,5w,100,12.12,650.55,9.24,642.78,700.4,647.86,659.48,692.73,1.54,69.56,1276.8,1277.0,1257.0,20.0,2869.73,3004.0,1019.4,41.0,0.0,48.77,36.08,35.8,71.99,1866.9124,238.031327,186691.24,23803.1327,yolov8n_5w_20260501_231716
yolov8n,ncnn_vulkan,10w,100,12.12,129.1,5.51,118.09,145.67,128.98,136.53,140.1,7.75,10.27,1223.7,1226.0,1219.0,7.0,3574.67,4990.0,627.43,1260.41,37.29,16.78,35.29,36.3,26.16,461.506,58.842014,46150.6,5884.2014,yolov8n_10w_20260501_231427
yolov8n,ncnn_vulkan,5w,100,12.12,172.09,4.6,159.52,184.7,171.66,180.65,182.45,5.81,14.12,1220.2,1223.0,1172.0,51.0,2968.38,3481.0,256.64,978.93,61.87,12.15,34.87,36.56,23.98,510.8313,65.130996,51083.13,6513.0996,yolov8n_5w_20260501_231716
resnet50,ncnn_cpu,10w,100,97.39,226.4,5.68,222.14,275.59,225.33,230.55,232.85,4.42,0.34,3577.3,3582.0,3577.0,5.0,5479.61,5806.0,3384.53,161.1,0.0,98.71,41.78,40.57,26.41,1240.562,158.17166,124056.2,15817.166,resnet50_10w_20260501_095042
resnet50,ncnn_cpu,5w,100,97.39,570.45,10.68,557.13,630.72,566.78,583.1,619.38,1.75,0.38,3563.6,3571.0,3563.0,8.0,2972.82,3081.0,1152.42,82.0,0.0,49.69,36.04,35.73,64.4,1695.8449,216.22022,169584.49,21622.022,resnet50_5w_20260501_101057
resnet50,ncnn_vulkan,10w,100,97.39,227.21,4.5,222.61,257.63,226.62,231.4,243.79,4.4,0.0,3564.0,3564.0,3564.0,0.0,5535.69,5765.0,3426.19,161.06,0.0,99.54,42.27,40.76,25.96,1257.7885,160.36803,125778.85,16036.803,resnet50_10w_20260501_095042
resnet50,ncnn_vulkan,5w,100,97.39,577.67,9.32,560.38,625.46,577.62,586.78,615.94,1.73,0.0,3559.9,3569.0,3555.0,14.0,2959.43,3081.0,1151.17,82.0,0.0,49.11,36.21,35.7,65.08,1709.5598,217.968869,170955.98,21796.8869,resnet50_5w_20260501_101057
resnet50,onnxrt_cuda,10w,100,97.41,516.59,1.61,514.68,523.5,516.21,519.53,521.99,1.94,0.0,3701.5,3793.0,3595.0,198.0,5333.0,7324.0,542.36,2786.48,78.51,5.26,40.27,41.57,74.83,2754.9583,351.257185,275495.83,35125.7185,resnet50_10w_20260501_095042
resnet50,onnxrt_cuda,5w,100,97.41,599.26,0.47,598.63,601.15,599.14,600.18,601.05,1.67,0.0,3638.1,3797.0,3600.0,197.0,3411.4,4632.0,302.83,1273.67,67.5,9.53,35.48,36.76,101.82,2044.3324,260.652379,204433.24,26065.2379,resnet50_5w_20260501_101057
resnet50,onnxrt_tensorrt,10w,100,97.41,54.94,0.2,54.63,55.94,54.93,55.17,55.75,18.2,0.0,3772.1,3879.0,3589.0,290.0,3491.78,8147.0,777.77,781.5,17.83,14.9,39.03,40.44,100.29,191.8507,24.460969,19185.07,2446.0969,resnet50_10w_20260501_095042
resnet50,onnxrt_tensorrt,5w,100,97.41,78.96,0.23,78.26,79.32,79.0,79.25,79.32,12.66,0.0,3767.1,3882.0,3539.0,343.0,2777.53,4869.0,403.49,465.34,21.95,18.02,35.0,36.41,105.02,219.3188,27.963152,21931.88,2796.3152,resnet50_5w_20260501_101057
resnet50,pytorch_cpu,10w,100,97.7,714.48,30.43,665.82,867.46,714.26,763.33,833.31,1.4,22.88,1311.0,1391.0,1092.0,299.0,5164.23,6028.0,3252.82,161.45,0.0,89.88,43.0,41.76,99.3,3689.742,470.442102,368974.2,47044.2102,resnet50_10w_20260501_095042
resnet50,pytorch_cpu,5w,100,97.7,1701.82,71.99,1547.33,2041.57,1692.88,1812.28,1859.71,0.59,20.96,1313.0,1386.0,1083.0,303.0,2767.21,2921.0,1044.62,82.0,0.0,49.03,38.31,38.27,201.5,4709.2938,600.434964,470929.38,60043.4964,resnet50_5w_20260501_101057
resnet50,pytorch_cuda,10w,100,97.7,90.02,0.24,89.55,90.58,90.0,90.44,90.54,11.11,125.64,2355.8,2986.0,1270.0,1716.0,4343.0,7539.0,957.79,1422.05,30.35,17.69,41.56,42.23,30.09,390.9447,49.845452,39094.47,4984.5452,resnet50_10w_20260501_095042
resnet50,pytorch_cuda,5w,100,97.7,123.79,0.09,123.61,124.03,123.78,123.97,124.01,8.08,125.64,2393.8,2993.0,1244.0,1749.0,3047.01,4787.0,419.63,754.35,31.66,17.84,36.41,37.74,42.72,377.2022,48.093283,37720.22,4809.3283,resnet50_5w_20260501_101057
resnet50,tensorrt_fp16,10w,100,61.16,29.82,0.1,29.38,30.02,29.82,29.97,30.01,33.54,0.58,3568.7,3612.0,3514.0,98.0,4967.67,6829.0,542.83,2426.0,57.33,7.29,39.92,40.88,5.02,148.1156,18.884737,14811.56,1888.4737,resnet50_10w_20260501_095042
resnet50,tensorrt_fp16,5w,100,61.16,42.71,0.14,42.39,43.06,42.72,42.96,42.99,23.41,0.58,3633.4,3655.0,3579.0,76.0,3459.08,4551.0,311.54,1240.62,60.46,10.19,35.46,36.88,6.72,147.7513,18.838285,14775.13,1883.8285,resnet50_5w_20260501_101057
resnet50,tensorrt_fp32,10w,100,121.76,54.51,0.16,54.16,54.8,54.56,54.74,54.8,18.35,0.58,3538.0,3723.0,2986.0,737.0,3524.92,7364.0,908.93,732.69,13.49,17.62,39.78,40.79,44.68,192.1429,24.498218,19214.29,2449.8218,resnet50_10w_20260501_095042
resnet50,tensorrt_fp32,5w,100,121.76,78.18,0.2,77.49,78.56,78.22,78.48,78.55,12.79,0.58,3692.9,3863.0,3011.0,852.0,2699.45,4869.0,417.32,434.33,17.13,18.45,35.66,36.84,53.67,211.0314,26.906509,21103.14,2690.6509,resnet50_5w_20260501_101057
resnet50,tensorrt_int8,10w,100,115.85,54.07,0.15,53.73,54.6,54.09,54.27,54.38,18.49,0.58,3674.1,3717.0,3543.0,174.0,5889.56,7245.0,644.67,3119.44,70.94,10.06,39.97,40.67,8.5,318.445,40.601735,31844.5,4060.1735,resnet50_10w_20260501_095042
resnet50,tensorrt_int8,5w,100,115.85,77.75,0.22,77.06,78.1,77.81,77.99,78.09,12.86,0.58,3745.8,3794.0,3630.0,164.0,3793.38,5015.0,351.04,1464.33,66.42,12.43,35.56,36.6,12.16,294.9426,37.605177,29494.26,3760.5177,resnet50_5w_20260501_101057
resnet50,tflite_cpu,10w,100,97.43,524.13,17.27,511.58,688.88,521.51,528.96,550.12,1.91,94.57,3585.6,3659.0,3583.0,76.0,4660.35,4950.0,2703.24,162.14,0.0,76.21,41.61,41.09,60.79,2442.6199,311.434043,244261.99,31143.4043,resnet50_10w_20260501_095042
resnet50,tflite_cpu,5w,100,97.43,1336.6,91.98,1299.94,2075.52,1316.87,1376.61,1722.59,0.75,82.93,3592.8,3690.0,3582.0,108.0,2643.55,2880.0,916.64,82.0,0.0,45.96,36.12,36.39,149.67,3533.3672,450.504316,353336.72,45050.4316,resnet50_5w_20260501_101057
resnet50,tflite_gpu,10w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.7,3585.0,3578.0,7.0,2501.3,2674.0,605.0,164.4,0.0,8.57,38.4,39.9,5.11,0.0,0.0,0.0,0.0,resnet50_10w_20260501_095042
resnet50,tflite_gpu,5w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3573.2,3582.0,3565.0,17.0,2093.83,2311.0,316.08,82.0,0.0,11.31,34.12,35.92,5.23,0.0,0.0,0.0,0.0,resnet50_5w_20260501_101057
shufflenet_v2_x1_0,ncnn_cpu,10w,100,8.66,18.67,6.45,17.3,80.84,17.5,20.73,31.28,53.56,0.15,3557.6,3561.0,3556.0,5.0,4906.4,5564.0,2973.8,153.4,0.0,93.6,36.9,36.1,2.32,91.6008,11.679103,9160.08,1167.9103,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,ncnn_cpu,5w,100,8.66,45.87,7.79,39.02,110.1,44.35,50.63,78.68,21.8,0.3,3537.1,3543.0,3531.0,12.0,2801.1,2917.0,1015.1,82.0,0.0,49.17,33.4,33.35,5.41,128.4807,16.381285,12848.07,1638.1285,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,ncnn_vulkan,10w,100,8.66,17.71,0.85,17.29,22.22,17.47,18.91,22.01,56.46,0.0,3553.0,3553.0,3553.0,0.0,4984.6,5604.0,3032.6,153.4,0.0,82.45,36.7,35.8,2.51,88.2787,11.255529,8827.87,1125.5529,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,ncnn_vulkan,5w,100,8.66,40.19,1.95,38.97,49.86,39.37,44.78,45.5,24.88,0.0,3532.2,3536.0,3531.0,5.0,2691.5,2880.0,955.75,82.0,0.0,44.48,33.04,33.12,4.82,108.1785,13.792759,10817.85,1379.2759,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,onnxrt_cuda,10w,100,8.82,15.85,0.25,15.48,16.61,15.79,16.24,16.59,63.11,0.0,3683.0,3791.0,3604.0,187.0,2852.5,5564.0,772.07,335.83,5.14,14.81,34.63,35.77,40.05,45.1981,5.762755,4519.81,576.2755,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,onnxrt_cuda,5w,100,8.82,51.27,4.1,46.39,73.23,50.82,58.96,68.2,19.51,0.0,3784.4,3827.0,3718.0,109.0,2630.08,3276.0,445.7,464.66,31.36,22.56,32.14,33.36,22.04,134.8327,17.191172,13483.27,1719.1172,shufflenet_v2_x1_0_5w_20260501_064834
