model,runtime,power_mode,num_runs,model_size_mb,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,fps,memory_gpu_mb,ram_mean_mb,ram_max_mb,ram_min_mb,ram_delta_mb,power_in_mean_mw,power_in_max_mw,power_cpu_mean_mw,power_gpu_mean_mw,gpu_util_mean_pct,cpu_util_mean_pct,temp_cpu_mean_c,temp_gpu_mean_c,wall_time_s,energy_per_inference_mj,co2_per_inference_mg,total_energy_mj,total_co2_mg,source_dir
shufflenet_v2_x1_0,onnxrt_tensorrt,10w,100,8.82,8.55,0.08,8.4,8.75,8.52,8.72,8.75,116.95,0.0,3697.2,3750.0,3603.0,147.0,2994.9,5957.0,887.73,363.08,6.69,19.05,34.73,35.79,69.32,25.6079,3.265005,2560.79,326.5005,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,onnxrt_tensorrt,5w,100,8.82,11.88,0.4,11.63,14.41,11.8,12.09,14.23,84.17,0.0,3671.3,3786.0,3580.0,206.0,2414.7,3885.0,511.38,182.55,7.42,25.46,32.39,33.34,102.45,28.6888,3.657824,2868.88,365.7824,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,pytorch_cpu,10w,100,8.75,321.76,81.52,157.36,408.95,354.58,402.27,408.11,3.11,13.21,1207.4,1222.0,1093.0,129.0,4684.02,5104.0,2945.91,161.13,0.0,94.87,38.55,37.66,43.96,1507.129,192.158942,150712.9,19215.8942,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,pytorch_cpu,5w,100,8.75,398.46,120.81,265.67,608.16,372.33,589.59,607.74,2.51,11.42,1211.7,1225.0,1097.0,128.0,2447.63,2555.0,801.43,82.0,0.0,47.02,34.03,34.51,54.11,975.2876,124.349175,97528.76,12434.9175,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,pytorch_cuda,10w,100,8.75,30.41,2.54,28.16,36.3,28.81,34.69,35.8,32.89,11.7,2265.2,2902.0,1221.0,1681.0,3041.59,4436.0,959.84,370.39,5.66,20.3,36.2,37.14,22.33,92.4825,11.791517,9248.25,1179.1517,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,pytorch_cuda,5w,100,8.75,42.98,0.86,42.35,49.15,42.71,44.13,46.56,23.27,11.7,2165.9,2861.0,1223.0,1638.0,2303.7,2921.0,458.39,179.46,5.18,20.88,33.0,34.03,30.04,99.0126,12.624113,9901.26,1262.4113,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,tensorrt_fp16,10w,100,5.35,7.57,0.73,7.1,9.46,7.17,9.09,9.42,132.14,0.58,3756.9,3764.0,3747.0,17.0,3401.44,6610.0,804.33,741.89,18.89,13.64,35.5,36.28,3.33,25.7413,3.282016,2574.13,328.2016,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,tensorrt_fp16,5w,100,5.35,11.14,0.46,10.16,14.69,11.09,11.34,12.9,89.79,0.58,3707.4,3714.0,3699.0,15.0,2622.33,3838.0,355.33,522.33,30.0,14.58,32.56,33.94,3.87,29.2052,3.723664,2920.52,372.3664,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,tensorrt_fp32,10w,100,9.18,8.06,0.66,7.79,13.94,7.92,8.76,9.68,124.15,0.58,3611.3,3821.0,2902.0,919.0,2791.41,7017.0,776.83,246.32,2.48,15.13,35.42,36.66,38.63,22.4851,2.866847,2248.51,286.6847,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,tensorrt_fp32,5w,100,9.18,12.46,4.71,10.89,45.47,11.25,22.49,29.29,80.24,0.58,3604.6,3773.0,2861.0,912.0,2290.51,4355.0,417.25,107.91,1.64,17.9,32.52,33.88,66.29,28.5473,3.639781,2854.73,363.9781,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,tensorrt_int8,10w,100,9.26,7.99,0.41,7.73,9.33,7.78,8.89,9.21,125.16,0.58,3753.5,3761.0,3736.0,25.0,3239.7,6480.0,656.2,744.5,18.6,15.07,35.0,36.2,3.65,25.8844,3.300266,2588.44,330.0266,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,tensorrt_int8,5w,100,9.26,10.87,0.05,10.82,11.17,10.86,10.93,11.1,91.97,0.58,3735.8,3740.0,3734.0,6.0,3414.5,4001.0,490.0,1061.25,73.0,28.06,33.0,33.88,1.72,37.1249,4.733428,3712.49,473.3428,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,tflite_cpu,10w,100,8.71,19.76,0.9,19.32,24.05,19.47,21.72,23.99,50.62,0.2,3574.0,3574.0,3574.0,0.0,4218.14,5411.0,2281.71,156.43,0.0,66.93,36.29,36.07,2.91,83.3322,10.624851,8333.22,1062.4851,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,tflite_cpu,5w,100,8.71,3121.6,63.97,2947.88,3355.61,3115.72,3243.75,3297.29,0.32,0.0,3589.9,3624.0,3585.0,39.0,2196.71,2435.0,620.38,82.0,0.0,49.85,32.96,33.68,344.07,6857.2535,874.299824,685725.35,87429.9824,shufflenet_v2_x1_0_5w_20260501_064834
shufflenet_v2_x1_0,tflite_gpu,10w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3578.7,3583.0,3574.0,9.0,2350.62,2994.0,487.77,142.38,0.0,8.6,33.85,35.5,5.84,0.0,0.0,0.0,0.0,shufflenet_v2_x1_0_10w_20260501_063229
shufflenet_v2_x1_0,tflite_gpu,5w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3570.8,3589.0,3556.0,33.0,2078.79,2311.0,318.29,82.0,0.0,10.54,32.07,33.54,6.11,0.0,0.0,0.0,0.0,shufflenet_v2_x1_0_5w_20260501_064834
ssd_mobilenet_v2,ncnn_cpu,10w,100,23.12,84.99,1.87,83.42,89.78,84.06,88.84,89.18,11.77,0.25,3605.2,3610.0,3605.0,5.0,5780.4,5877.0,3556.05,160.9,0.0,99.24,40.7,39.23,9.78,491.2571,62.635282,49125.71,6263.5282,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,ncnn_cpu,5w,100,23.12,193.03,6.43,187.38,236.48,191.46,200.69,212.74,5.18,0.24,3581.4,3583.0,3580.0,3.0,2941.3,3081.0,1094.55,82.0,0.0,48.9,34.5,34.22,21.92,567.7566,72.388966,56775.66,7238.8966,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,ncnn_vulkan,10w,100,23.12,85.06,2.62,83.52,103.51,84.08,88.9,92.9,11.76,0.0,3608.2,3615.0,3605.0,10.0,5458.95,5868.0,3272.48,161.24,0.0,91.5,40.0,38.86,9.74,464.3468,59.204215,46434.68,5920.4215,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,ncnn_vulkan,5w,100,23.12,191.35,3.61,187.31,200.73,189.9,197.68,200.6,5.23,0.0,3575.0,3576.0,3575.0,1.0,2969.41,3081.0,1109.61,82.0,0.0,49.48,34.43,34.38,21.59,568.1989,72.445366,56819.89,7244.5366,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,pytorch_cpu,10w,100,23.12,1266.68,213.44,860.54,1608.97,1275.71,1595.36,1598.78,0.79,52.47,1284.1,1302.0,1115.0,187.0,4907.69,5411.0,3146.89,161.89,0.0,97.94,42.14,41.29,150.62,6216.4684,792.599721,621646.84,79259.9721,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,pytorch_cpu,5w,100,23.12,1896.95,323.58,1335.68,2507.75,1795.6,2450.0,2502.6,0.53,63.98,1260.3,1268.0,1078.0,190.0,2524.39,2880.0,878.43,82.0,0.0,49.53,36.55,36.84,219.82,4788.6402,610.551626,478864.02,61055.1626,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,pytorch_cuda,10w,100,23.12,56.38,0.95,55.51,59.09,56.03,58.64,58.87,17.74,40.91,2267.5,2792.0,1283.0,1509.0,3796.32,6570.0,979.16,1004.09,23.61,20.14,40.7,41.61,22.8,214.0378,27.289823,21403.78,2728.9823,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,pytorch_cuda,5w,100,23.12,82.82,0.81,80.11,85.39,82.94,83.52,84.57,12.08,40.91,2312.0,2793.0,1254.0,1539.0,2625.93,4151.0,446.23,445.99,18.62,19.54,34.97,36.19,36.77,217.4677,27.727137,21746.77,2772.7137,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,tensorrt_fp16,10w,100,13.6,23.58,0.16,23.17,23.96,23.62,23.85,23.87,42.42,1.87,3716.5,3767.0,3645.0,122.0,3635.39,7658.0,890.35,827.61,16.7,14.52,39.07,39.72,11.33,85.7083,10.927812,8570.83,1092.7812,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,tensorrt_fp16,5w,100,13.6,32.81,0.73,32.55,39.52,32.65,33.22,34.98,30.48,1.87,3773.0,3790.0,3742.0,48.0,2961.24,4551.0,441.12,654.41,28.82,16.26,34.26,35.44,8.36,97.1518,12.386855,9715.18,1238.6855,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,tensorrt_fp32,10w,100,24.5,25.8,0.17,25.48,26.24,25.8,26.1,26.17,38.76,1.87,3514.7,3828.0,2794.0,1034.0,3208.98,7432.0,824.98,558.14,10.88,14.82,39.13,40.12,28.56,82.7997,10.556967,8279.97,1055.6967,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,tensorrt_fp32,5w,100,24.5,36.18,0.17,35.96,37.14,36.12,36.5,36.81,27.64,1.87,3537.4,3840.0,2792.0,1048.0,2444.96,4666.0,417.89,252.62,10.2,16.9,34.26,35.49,40.07,88.4576,11.278343,8845.76,1127.8343,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,tensorrt_int8,10w,100,22.64,25.95,0.07,25.78,26.13,25.95,26.06,26.11,38.54,1.87,3644.7,3680.0,3625.0,55.0,3609.26,6868.0,728.63,986.89,25.26,11.54,37.95,39.13,8.09,93.6525,11.940687,9365.25,1194.0687,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,tensorrt_int8,5w,100,22.64,36.21,0.14,36.06,37.43,36.18,36.34,36.46,27.62,1.87,3783.6,3801.0,3740.0,61.0,3006.75,4151.0,307.44,833.19,43.06,10.11,33.88,35.22,7.76,108.8701,13.88094,10887.01,1388.094,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,tflite_cpu,10w,100,23.16,143.42,4.58,141.54,186.7,142.4,146.31,147.21,6.97,0.37,3622.5,3640.0,3621.0,19.0,4825.0,5564.0,2571.83,161.72,0.0,81.89,40.18,39.58,18.16,692.0124,88.231578,69201.24,8823.1578,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,tflite_cpu,5w,100,23.16,3563.6,49.21,3395.61,3659.68,3563.72,3647.48,3659.02,0.28,0.34,3611.1,3648.0,3609.0,39.0,2266.47,2555.0,653.47,82.0,0.0,49.65,34.25,34.91,394.16,8076.7962,1029.791512,807679.62,102979.1512,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,tflite_gpu,10w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617.6,3623.0,3609.0,14.0,2486.5,2835.0,600.08,164.5,0.0,9.54,37.0,38.58,5.35,0.0,0.0,0.0,0.0,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,tflite_gpu,5w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602.6,3612.0,3581.0,31.0,2105.08,2352.0,298.23,82.0,0.0,10.15,32.92,34.08,6.65,0.0,0.0,0.0,0.0,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,onnxrt_cuda,10w,100,23.23,51.67,1.18,50.96,58.57,51.4,53.04,57.93,19.35,0.0,3769.7,3846.0,3608.0,238.0,3841.83,7499.0,880.31,1093.68,38.51,19.2,37.86,38.68,40.14,198.5138,25.310506,19851.38,2531.0506,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,onnxrt_cuda,5w,100,23.23,70.47,1.37,69.24,78.36,69.9,72.45,76.68,14.19,0.0,3795.3,3869.0,3709.0,160.0,2847.99,4625.0,486.95,557.44,39.74,22.94,33.91,35.17,56.26,200.7086,25.590349,20070.86,2559.0349,ssd_mobilenet_v2_5w_20260501_081846
ssd_mobilenet_v2,onnxrt_tensorrt,10w,100,23.23,26.12,0.07,25.91,26.41,26.12,26.24,26.33,38.28,0.0,3761.9,3864.0,3680.0,184.0,3447.78,6209.0,1078.99,672.4,22.68,24.59,38.35,39.2,172.42,90.0632,11.483061,9006.32,1148.3061,ssd_mobilenet_v2_10w_20260501_075835
ssd_mobilenet_v2,onnxrt_tensorrt,5w,100,23.23,36.49,0.14,36.32,37.05,36.44,36.72,37.0,27.4,0.0,3733.9,3866.0,3647.0,219.0,2487.32,4001.0,524.34,320.5,20.25,26.17,34.22,35.19,240.62,90.7663,11.572701,9076.63,1157.2701,ssd_mobilenet_v2_5w_20260501_081846
yolov8n,onnxrt_cuda,10w,100,12.18,108.74,0.31,108.13,110.33,108.71,109.14,110.01,9.2,0.0,3769.8,3829.0,3683.0,146.0,4291.09,7233.0,797.46,1418.05,37.25,14.89,38.54,39.23,42.14,466.6293,59.495231,46662.93,5949.5231,yolov8n_10w_20260501_053050
yolov8n,onnxrt_cuda,5w,100,12.18,144.8,1.37,144.02,155.9,144.49,146.33,149.48,6.91,0.0,3793.3,3859.0,3711.0,148.0,3166.87,5209.0,455.89,737.06,34.06,19.52,34.39,35.51,55.17,458.5496,58.465071,45854.96,5846.5071,yolov8n_5w_20260501_055112
yolov8n,onnxrt_tensorrt,10w,100,12.18,75.32,0.2,74.82,75.86,75.34,75.58,75.75,13.28,1.26,3740.8,3853.0,3650.0,203.0,3372.08,7233.0,982.48,630.7,15.38,22.38,38.26,39.18,195.15,253.9792,32.382348,25397.92,3238.2348,yolov8n_10w_20260501_053050
yolov8n,onnxrt_tensorrt,5w,100,12.18,105.03,0.27,104.6,106.42,104.99,105.35,106.36,9.52,1.32,3660.8,3852.0,3540.0,312.0,2498.66,4632.0,489.63,308.32,15.4,23.02,34.16,35.31,264.98,262.4268,33.459414,26242.68,3345.9414,yolov8n_5w_20260501_055112
yolov8n,pytorch_cpu,10w,100,12.02,936.03,36.33,832.98,1030.16,927.44,1008.62,1029.63,1.07,149.68,1334.9,1362.0,1091.0,271.0,5600.37,6259.0,3641.92,160.92,0.0,96.41,43.07,41.39,114.98,5242.1307,668.371658,524213.07,66837.1658,yolov8n_10w_20260501_053050
yolov8n,pytorch_cpu,5w,100,12.02,2289.04,111.41,2077.95,2531.72,2257.47,2508.28,2522.79,0.44,154.15,1283.5,1293.0,1017.0,276.0,2806.93,2999.0,1092.52,82.0,0.0,49.57,37.24,36.94,262.96,6425.1646,819.208492,642516.46,81920.8492,yolov8n_5w_20260501_055112
yolov8n,pytorch_cuda,10w,100,12.02,88.39,0.14,88.09,88.69,88.39,88.6,88.67,11.31,29.32,2419.2,2774.0,1359.0,1415.0,4171.57,7551.0,880.95,1358.62,27.97,16.93,41.14,41.77,32.91,368.7257,47.012532,36872.57,4701.2532,yolov8n_10w_20260501_053050
yolov8n,pytorch_cuda,5w,100,12.02,125.62,0.07,125.46,125.81,125.61,125.74,125.78,7.96,29.32,2390.8,2732.0,1290.0,1442.0,2937.84,4747.0,445.14,681.89,28.51,18.07,35.58,36.79,46.51,369.056,47.054643,36905.6,4705.4643,yolov8n_5w_20260501_055112
yolov8n,tensorrt_fp16,10w,100,15.38,53.15,0.08,52.99,53.42,53.15,53.28,53.33,18.81,7.38,3777.5,3795.0,3742.0,53.0,4808.84,7165.0,839.32,1986.05,51.84,13.43,40.13,40.42,10.38,255.5971,32.588624,25559.71,3258.8624,yolov8n_10w_20260501_053050
yolov8n,tensorrt_fp16,5w,100,15.38,74.51,0.18,74.32,75.74,74.47,74.83,75.07,13.42,7.38,3758.1,3767.0,3717.0,50.0,2878.31,4551.0,443.24,680.17,32.76,19.26,34.82,35.9,21.32,214.4525,27.342692,21445.25,2734.2692,yolov8n_5w_20260501_055112
yolov8n,tensorrt_fp32,10w,100,29.9,71.33,0.17,70.74,71.86,71.32,71.61,71.79,14.02,7.38,3534.2,3848.0,2772.0,1076.0,3861.85,7499.0,811.35,1082.52,23.3,14.13,39.8,40.68,34.76,275.4512,35.120024,27545.12,3512.0024,yolov8n_10w_20260501_053050
yolov8n,tensorrt_fp32,5w,100,29.9,99.89,0.69,99.57,105.7,99.78,100.08,103.17,10.01,7.38,3567.8,3830.0,2732.0,1098.0,2891.44,5064.0,415.01,587.72,25.59,16.99,34.99,36.27,44.6,288.825,36.825181,28882.5,3682.5181,yolov8n_5w_20260501_055112
yolov8n,tensorrt_int8,10w,100,29.68,71.1,0.14,70.89,71.59,71.08,71.39,71.44,14.07,7.38,3791.0,3813.0,3730.0,83.0,4595.38,8108.0,871.12,1729.26,38.09,15.64,39.19,40.01,16.58,326.7243,41.657345,32672.43,4165.7345,yolov8n_10w_20260501_053050
yolov8n,tensorrt_int8,5w,100,29.68,99.53,0.24,99.29,101.55,99.5,99.65,100.4,10.05,7.38,3785.8,3792.0,3731.0,61.0,3511.16,4632.0,357.68,1193.51,56.0,13.97,34.82,35.88,18.94,349.4701,44.557432,34947.01,4455.7432,yolov8n_5w_20260501_055112
yolov8n,tflite_cpu,10w,100,12.18,351.44,54.75,340.2,861.95,343.84,355.76,534.12,2.85,33.36,3621.1,3625.0,3612.0,13.0,6061.85,6450.0,4063.01,160.21,0.0,95.85,43.45,40.91,39.61,2130.4004,271.626049,213040.04,27162.6049,yolov8n_10w_20260501_053050
yolov8n,tflite_cpu,5w,100,12.18,3127.2,43.63,3035.4,3267.18,3123.69,3212.08,3255.86,0.32,33.29,3533.2,3547.0,3512.0,35.0,2427.64,2839.0,802.55,82.0,0.0,49.66,34.96,35.4,345.07,7591.7191,967.944186,759171.91,96794.4186,yolov8n_5w_20260501_055112
yolov8n,tflite_gpu,10w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.8,3613.0,3578.0,35.0,2459.17,2835.0,558.92,164.5,0.0,7.79,38.17,39.46,5.98,0.0,0.0,0.0,0.0,yolov8n_10w_20260501_053050
yolov8n,tflite_gpu,5w,100,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3519.6,3537.0,3481.0,56.0,2073.15,2270.0,285.54,82.0,0.0,9.04,33.15,34.92,6.07,0.0,0.0,0.0,0.0,yolov8n_5w_20260501_055112
