model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops,input_shape,output_shape,param_count
efficientnetb0,onnxrt_cpu,1,features/features.0/features.0.0,"01. features.0/features.0.0 [conv]
params 0",conv,3.7807,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,2,features/features.0/features.0.2/Mul,"02. features.0/features.0.2/Mul [act]
params 0",act,5.0892,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,3,features/features.1/features.1.0/block/block.0/block.0.0,"03. features.1/features.1.0/block/block.0/block.0.0 [conv]
params 0",conv,5.5553,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,4,features/features.1/features.1.0/block/block.0/block.0.2/Mul,"04. features.1/features.1.0/block/block.0/block.0.2/Mul [act]
params 0",act,4.7603,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,5,features/features.1/features.1.0/block/block.1/avgpool,"05. features.1/features.1.0/block/block.1/avgpool [pool]
params 0",pool,0.46149999999999997,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,6,features/features.1/features.1.0/block/block.1/fc1,"06. features.1/features.1.0/block/block.1/fc1 [conv]
params 0",conv,0.0708,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,7,features/features.1/features.1.0/block/block.1/activation/Mul,"07. features.1/features.1.0/block/block.1/activation/Mul [act]
params 0",act,0.041600000000000005,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,8,features/features.1/features.1.0/block/block.1/fc2,"08. features.1/features.1.0/block/block.1/fc2 [conv]
params 0",conv,0.0555,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,9,features/features.1/features.1.0/block/block.1,"09. features.1/features.1.0/block/block.1 [eltwise]
params 0",eltwise,0.5165,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,10,features/features.1/features.1.0/block/block.2/block.2.0,"10. features.1/features.1.0/block/block.2/block.2.0 [conv]
params 0",conv,2.9928000000000003,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,11,features/features.2/features.2.0/block/block.0/block.0.0,"11. features.2/features.2.0/block/block.0/block.0.0 [conv]
params 0",conv,6.5158,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,12,features/features.2/features.2.0/block/block.0/block.0.2/Mul,"12. features.2/features.2.0/block/block.0/block.0.2/Mul [act]
params 0",act,14.3837,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,13,features/features.2/features.2.0/block/block.1/block.1.0,"13. features.2/features.2.0/block/block.1/block.1.0 [conv]
params 0",conv,13.1014,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,14,features/features.2/features.2.0/block/block.1/block.1.2/Mul,"14. features.2/features.2.0/block/block.1/block.1.2/Mul [act]
params 0",act,3.6158000000000006,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,15,features/features.2/features.2.0/block/block.2/avgpool,"15. features.2/features.2.0/block/block.2/avgpool [pool]
params 0",pool,0.37089999999999995,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,16,features/features.2/features.2.0/block/block.2/fc1,"16. features.2/features.2.0/block/block.2/fc1 [conv]
params 0",conv,0.07590000000000001,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,17,features/features.2/features.2.0/block/block.2/activation/Mul,"17. features.2/features.2.0/block/block.2/activation/Mul [act]
params 0",act,0.0403,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,18,features/features.2/features.2.0/block/block.2/fc2,"18. features.2/features.2.0/block/block.2/fc2 [conv]
params 0",conv,0.0599,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,19,features/features.2/features.2.0/block/block.2,"19. features.2/features.2.0/block/block.2 [eltwise]
params 0",eltwise,0.4023,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,20,features/features.2/features.2.0/block/block.3/block.3.0,"20. features.2/features.2.0/block/block.3/block.3.0 [conv]
params 0",conv,2.5107000000000004,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,21,features/features.2/features.2.1/block/block.0/block.0.0,"21. features.2/features.2.1/block/block.0/block.0.0 [conv]
params 0",conv,3.4499,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,22,features/features.2/features.2.1/block/block.0/block.0.2/Mul,"22. features.2/features.2.1/block/block.0/block.0.2/Mul [act]
params 0",act,5.5828999999999995,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,23,features/features.2/features.2.1/block/block.1/block.1.0,"23. features.2/features.2.1/block/block.1/block.1.0 [conv]
params 0",conv,11.029399999999999,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,24,features/features.2/features.2.1/block/block.1/block.1.2/Mul,"24. features.2/features.2.1/block/block.1/block.1.2/Mul [act]
params 0",act,5.3435999999999995,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,25,features/features.2/features.2.1/block/block.2/avgpool,"25. features.2/features.2.1/block/block.2/avgpool [pool]
params 0",pool,0.5055,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,26,features/features.2/features.2.1/block/block.2/fc1,"26. features.2/features.2.1/block/block.2/fc1 [conv]
params 0",conv,0.08109999999999999,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,27,features/features.2/features.2.1/block/block.2/activation/Mul,"27. features.2/features.2.1/block/block.2/activation/Mul [act]
params 0",act,0.0415,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,28,features/features.2/features.2.1/block/block.2/fc2,"28. features.2/features.2.1/block/block.2/fc2 [conv]
params 0",conv,0.0625,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,29,features/features.2/features.2.1/block/block.2,"29. features.2/features.2.1/block/block.2 [eltwise]
params 0",eltwise,0.6638999999999999,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,30,features/features.2/features.2.1/block/block.3/block.3.0,"30. features.2/features.2.1/block/block.3/block.3.0 [conv]
params 0",conv,4.3007,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,31,features/features.3/features.3.0/block/block.0/block.0.0,"31. features.3/features.3.0/block/block.0/block.0.0 [conv]
params 0",conv,3.2152000000000003,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,32,features/features.3/features.3.0/block/block.0/block.0.2/Mul,"32. features.3/features.3.0/block/block.0/block.0.2/Mul [act]
params 0",act,5.5869,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,33,features/features.3/features.3.0/block/block.1/block.1.0,"33. features.3/features.3.0/block/block.1/block.1.0 [conv]
params 0",conv,14.3812,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,34,features/features.3/features.3.0/block/block.1/block.1.2/Mul,"34. features.3/features.3.0/block/block.1/block.1.2/Mul [act]
params 0",act,1.4213,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,35,features/features.3/features.3.0/block/block.2/avgpool,"35. features.3/features.3.0/block/block.2/avgpool [pool]
params 0",pool,0.173,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,36,features/features.3/features.3.0/block/block.2/fc1,"36. features.3/features.3.0/block/block.2/fc1 [conv]
params 0",conv,0.0702,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,37,features/features.3/features.3.0/block/block.2/activation/Mul,"37. features.3/features.3.0/block/block.2/activation/Mul [act]
params 0",act,0.0395,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,38,features/features.3/features.3.0/block/block.2/fc2,"38. features.3/features.3.0/block/block.2/fc2 [conv]
params 0",conv,0.0595,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,39,features/features.3/features.3.0/block/block.2,"39. features.3/features.3.0/block/block.2 [eltwise]
params 0",eltwise,0.168,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,40,features/features.3/features.3.0/block/block.3/block.3.0,"40. features.3/features.3.0/block/block.3/block.3.0 [conv]
params 0",conv,1.2931,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,41,features/features.3/features.3.1/block/block.0/block.0.0,"41. features.3/features.3.1/block/block.0/block.0.0 [conv]
params 0",conv,1.9715,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,42,features/features.3/features.3.1/block/block.0/block.0.2/Mul,"42. features.3/features.3.1/block/block.0/block.0.2/Mul [act]
params 0",act,2.3033000000000006,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,43,features/features.3/features.3.1/block/block.1/block.1.0,"43. features.3/features.3.1/block/block.1/block.1.0 [conv]
params 0",conv,12.6611,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,44,features/features.3/features.3.1/block/block.1/block.1.2/Mul,"44. features.3/features.3.1/block/block.1/block.1.2/Mul [act]
params 0",act,2.4031000000000002,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,45,features/features.3/features.3.1/block/block.2/avgpool,"45. features.3/features.3.1/block/block.2/avgpool [pool]
params 0",pool,0.24539999999999998,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,46,features/features.3/features.3.1/block/block.2/fc1,"46. features.3/features.3.1/block/block.2/fc1 [conv]
params 0",conv,0.0815,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,47,features/features.3/features.3.1/block/block.2/activation/Mul,"47. features.3/features.3.1/block/block.2/activation/Mul [act]
params 0",act,0.0396,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,48,features/features.3/features.3.1/block/block.2/fc2,"48. features.3/features.3.1/block/block.2/fc2 [conv]
params 0",conv,0.0705,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,49,features/features.3/features.3.1/block/block.2,"49. features.3/features.3.1/block/block.2 [eltwise]
params 0",eltwise,0.2496,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,50,features/features.3/features.3.1/block/block.3/block.3.0,"50. features.3/features.3.1/block/block.3/block.3.0 [conv]
params 0",conv,2.1458000000000004,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,51,features/features.4/features.4.0/block/block.0/block.0.0,"51. features.4/features.4.0/block/block.0/block.0.0 [conv]
params 0",conv,1.9093,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,52,features/features.4/features.4.0/block/block.0/block.0.2/Mul,"52. features.4/features.4.0/block/block.0/block.0.2/Mul [act]
params 0",act,2.3638000000000003,0.0,0.0,3,,,0.0
efficientnetb0,onnxrt_cpu,53,features/features.4/features.4.0/block/block.1/block.1.0,"53. features.4/features.4.0/block/block.1/block.1.0 [conv]
params 0",conv,2.7790000000000004,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,54,features/features.4/features.4.0/block/block.1/block.1.2/Mul,"54. features.4/features.4.0/block/block.1/block.1.2/Mul [act]
params 0",act,0.6265000000000001,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,55,features/features.4/features.4.0/block/block.2/avgpool,"55. features.4/features.4.0/block/block.2/avgpool [pool]
params 0",pool,0.0997,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,56,features/features.4/features.4.0/block/block.2/fc1,"56. features.4/features.4.0/block/block.2/fc1 [conv]
params 0",conv,0.0809,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,57,features/features.4/features.4.0/block/block.2/activation/Mul,"57. features.4/features.4.0/block/block.2/activation/Mul [act]
params 0",act,0.0445,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,58,features/features.4/features.4.0/block/block.2/fc2,"58. features.4/features.4.0/block/block.2/fc2 [conv]
params 0",conv,0.0671,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,59,features/features.4/features.4.0/block/block.2,"59. features.4/features.4.0/block/block.2 [eltwise]
params 0",eltwise,0.1454,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,60,features/features.4/features.4.0/block/block.3/block.3.0,"60. features.4/features.4.0/block/block.3/block.3.0 [conv]
params 0",conv,0.9686,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,61,features/features.4/features.4.1/block/block.0/block.0.0,"61. features.4/features.4.1/block/block.0/block.0.0 [conv]
params 0",conv,1.9389,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,62,features/features.4/features.4.1/block/block.0/block.0.2/Mul,"62. features.4/features.4.1/block/block.0/block.0.2/Mul [act]
params 0",act,1.1863,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,63,features/features.4/features.4.1/block/block.1/block.1.0,"63. features.4/features.4.1/block/block.1/block.1.0 [conv]
params 0",conv,3.0382000000000002,0.0,0.0,2,,,0.0
efficientnetb0,onnxrt_cpu,64,features/features.4/features.4.1/block/block.1/block.1.2/Mul,"64. features.4/features.4.1/block/block.1/block.1.2/Mul [act]
params 0",act,1.1465,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,65,features/features.4/features.4.1/block/block.2/avgpool,"65. features.4/features.4.1/block/block.2/avgpool [pool]
params 0",pool,0.1384,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,66,features/features.4/features.4.1/block/block.2/fc1,"66. features.4/features.4.1/block/block.2/fc1 [conv]
params 0",conv,0.1232,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,67,features/features.4/features.4.1/block/block.2/activation/Mul,"67. features.4/features.4.1/block/block.2/activation/Mul [act]
params 0",act,0.0399,0.0,0.0,1,,,0.0
efficientnetb0,onnxrt_cpu,68,features/features.4/features.4.1/block/block.2/fc2,"68. features.4/features.4.1/block/block.2/fc2 [conv]
params 0",conv,0.0998,0.0,0.0,1,,,0.0
