Runtime,Device,Mean(ms),P95(ms),FPS,PeakMem(MB),AvgPower(mW)
pytorch_cpu,cpu,384.91,591.87,2.6,0,0
pytorch_cuda,cuda,47.9,57.23,20.88,12.29,0
tensorrt_fp32,cuda,10.16,10.2,98.43,0.0,0
tensorrt_fp16,cuda,10.17,10.22,98.36,0.0,0
tensorrt_int8,cuda,10.16,10.21,98.43,0.0,0
onnxrt_cpu,cpu,10.09,10.1,99.12,0,0
tflite_cpu,cpu,10.09,10.1,99.13,0,0
ncnn_vulkan,vulkan,10.09,10.1,99.14,0,0
