layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
features.8.block.1.1,BatchNorm2d,288,"[1, 144, 14, 14]","[1, 144, 14, 14]",0.3874,0.0148,0.3751,0.435
features.8.block.1.2,Hardswish,0,"[1, 144, 14, 14]","[1, 144, 14, 14]",0.257,0.0169,0.2444,0.3267
features.8.block.2.avgpool,AdaptiveAvgPool2d,0,"[1, 144, 14, 14]","[1, 144, 1, 1]",0.3346,0.0241,0.315,0.3966
features.8.block.2.fc1,Conv2d,5800,"[1, 144, 1, 1]","[1, 40, 1, 1]",0.7277,0.057,0.6823,0.898
features.8.block.2.fc2,Conv2d,5904,"[1, 40, 1, 1]","[1, 144, 1, 1]",0.6124,0.0289,0.5831,0.6766
features.8.block.2.activation,ReLU,0,"[1, 40, 1, 1]","[1, 40, 1, 1]",0.3126,0.0341,0.286,0.395
features.8.block.2.scale_activation,Hardsigmoid,0,"[1, 144, 1, 1]","[1, 144, 1, 1]",0.2908,0.0158,0.2783,0.3368
features.8.block.3.0,Conv2d,6912,"[1, 144, 14, 14]","[1, 48, 14, 14]",0.6434,0.0385,0.6124,0.7852
features.8.block.3.1,BatchNorm2d,96,"[1, 48, 14, 14]","[1, 48, 14, 14]",0.4015,0.0297,0.3785,0.5029
features.9.block.0.0,Conv2d,13824,"[1, 48, 14, 14]","[1, 288, 14, 14]",0.7459,0.0244,0.7168,0.7968
features.9.block.0.1,BatchNorm2d,576,"[1, 288, 14, 14]","[1, 288, 14, 14]",0.3931,0.0202,0.3724,0.4445
features.9.block.0.2,Hardswish,0,"[1, 288, 14, 14]","[1, 288, 14, 14]",0.2639,0.0179,0.2504,0.3231
features.9.block.1.0,Conv2d,7200,"[1, 288, 14, 14]","[1, 288, 7, 7]",0.4182,0.016,0.3989,0.4494
features.9.block.1.1,BatchNorm2d,576,"[1, 288, 7, 7]","[1, 288, 7, 7]",0.3911,0.0241,0.372,0.4602
features.9.block.1.2,Hardswish,0,"[1, 288, 7, 7]","[1, 288, 7, 7]",0.2557,0.0115,0.2458,0.2944
features.9.block.2.avgpool,AdaptiveAvgPool2d,0,"[1, 288, 7, 7]","[1, 288, 1, 1]",0.3391,0.0214,0.3181,0.4041
features.9.block.2.fc1,Conv2d,20808,"[1, 288, 1, 1]","[1, 72, 1, 1]",0.734,0.0508,0.6863,0.8739
features.9.block.2.fc2,Conv2d,21024,"[1, 72, 1, 1]","[1, 288, 1, 1]",0.6216,0.0638,0.5854,0.8882
features.9.block.2.activation,ReLU,0,"[1, 72, 1, 1]","[1, 72, 1, 1]",0.2985,0.0232,0.2842,0.3867
features.9.block.2.scale_activation,Hardsigmoid,0,"[1, 288, 1, 1]","[1, 288, 1, 1]",0.2849,0.0111,0.2728,0.328
features.9.block.3.0,Conv2d,27648,"[1, 288, 7, 7]","[1, 96, 7, 7]",0.745,0.0279,0.7135,0.8327
features.9.block.3.1,BatchNorm2d,192,"[1, 96, 7, 7]","[1, 96, 7, 7]",0.4103,0.0239,0.3765,0.465
features.10.block.0.0,Conv2d,55296,"[1, 96, 7, 7]","[1, 576, 7, 7]",0.6409,0.0434,0.6032,0.7668
features.10.block.0.1,BatchNorm2d,1152,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.3959,0.0323,0.3686,0.4951
