Runtime,Device,Mean(ms),P95(ms),FPS,PeakMem(MB),AvgPower(mW)
pytorch_cpu,cpu,10.14,10.11,98.63,0,0
pytorch_cuda,cuda,10.17,10.2,98.36,0.0,0
tensorrt_fp32,cuda,10.17,10.27,98.32,0.0,0
tensorrt_fp16,cuda,10.18,10.28,98.28,0.0,0
tensorrt_int8,cuda,10.16,10.21,98.41,0.0,0
onnxrt_cpu,cpu,10.09,10.11,99.11,0,0
tflite_cpu,cpu,10.15,10.14,98.56,0,0
ncnn_vulkan,vulkan,10.11,10.15,98.91,0,0
