layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
82,stage3.4.branch2.3,Conv2d,"Conv2d(116, 116, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=116, bias=False)",1x116x14x14,1x116x14x14,1044,1044,116,116,3x3,1x1,1x1,1x1,116,False,100,0.31094,0.028865,0.282089,0.431624,0.294094,0.355586,0,0,1777375764.2957091
83,stage3.4.branch2.4,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.374236,0.028366,0.343757,0.471832,0.360033,0.413831,0,0,1777375764.2962375
84,stage3.4.branch2.5,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.5186,0.050134,0.464437,0.672566,0.491339,0.59345,0,0,1777375764.296837
85,stage3.4.branch2.6,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.381604,0.037239,0.348393,0.619961,0.366441,0.435806,0,0,1777375764.2973306
86,stage3.4.branch2.7,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.242807,0.025464,0.217661,0.329955,0.226438,0.287872,0,0,1777375764.2976847
87,stage3.5.branch2.0,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.538766,0.050914,0.479906,0.678295,0.517823,0.623338,0,0,1777375764.2988405
88,stage3.5.branch2.1,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.391479,0.03311,0.356362,0.543814,0.373497,0.45764,0,0,1777375764.2993202
89,stage3.5.branch2.2,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.247177,0.03505,0.217609,0.511678,0.229484,0.276872,0,0,1777375764.2996686
90,stage3.5.branch2.3,Conv2d,"Conv2d(116, 116, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=116, bias=False)",1x116x14x14,1x116x14x14,1044,1044,116,116,3x3,1x1,1x1,1x1,116,False,100,0.313488,0.026269,0.283339,0.3773,0.299433,0.366895,0,0,1777375764.3001163
91,stage3.5.branch2.4,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.379248,0.029656,0.347352,0.481313,0.363888,0.431751,0,0,1777375764.3005993
92,stage3.5.branch2.5,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.524331,0.060945,0.466208,0.880279,0.49561,0.602997,0,0,1777375764.3012059
93,stage3.5.branch2.6,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.382536,0.03187,0.349747,0.497771,0.367691,0.441577,0,0,1777375764.3016896
94,stage3.5.branch2.7,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.245569,0.031277,0.216932,0.429228,0.229483,0.280646,0,0,1777375764.302063
95,stage3.6.branch2.0,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.53575,0.051773,0.478187,0.702306,0.514959,0.625159,0,0,1777375764.3032892
96,stage3.6.branch2.1,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.392602,0.040365,0.354539,0.598293,0.37157,0.456514,0,0,1777375764.303818
97,stage3.6.branch2.2,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.246271,0.025416,0.219224,0.344122,0.230604,0.281738,0,0,1777375764.304183
98,stage3.6.branch2.3,Conv2d,"Conv2d(116, 116, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=116, bias=False)",1x116x14x14,1x116x14x14,1044,1044,116,116,3x3,1x1,1x1,1x1,116,False,100,0.319543,0.057509,0.283808,0.79835,0.299225,0.368708,0,0,1777375764.3045926
99,stage3.6.branch2.4,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.380562,0.047774,0.343549,0.763141,0.36696,0.420748,0,0,1777375764.3050818
100,stage3.6.branch2.5,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.523251,0.054588,0.464802,0.749808,0.498473,0.613568,0,0,1777375764.305697
101,stage3.6.branch2.6,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.380793,0.032851,0.34558,0.542772,0.365945,0.435544,0,0,1777375764.3061895
102,stage3.6.branch2.7,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.24352,0.025755,0.218495,0.353549,0.228859,0.282584,0,0,1777375764.3065407
103,stage3.7.branch2.0,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.535922,0.05417,0.477302,0.806267,0.515167,0.61955,0,0,1777375764.3077056
104,stage3.7.branch2.1,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.394478,0.034672,0.357403,0.546679,0.383706,0.448436,0,0,1777375764.308233
105,stage3.7.branch2.2,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.245421,0.024858,0.219692,0.344694,0.232323,0.276472,0,0,1777375764.3085926
106,stage3.7.branch2.3,Conv2d,"Conv2d(116, 116, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=116, bias=False)",1x116x14x14,1x116x14x14,1044,1044,116,116,3x3,1x1,1x1,1x1,116,False,100,0.315973,0.037177,0.281568,0.481729,0.298105,0.372987,0,0,1777375764.3089914
107,stage3.7.branch2.4,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.377907,0.032704,0.345736,0.534282,0.36019,0.434689,0,0,1777375764.309474
108,stage3.7.branch2.5,Conv2d,"Conv2d(116, 116, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x116x14x14,1x116x14x14,13456,13456,116,116,1x1,1x1,0x0,1x1,1,False,100,0.520617,0.053778,0.461885,0.778975,0.497823,0.60089,0,0,1777375764.3100734
109,stage3.7.branch2.6,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.378161,0.027559,0.346414,0.46803,0.362559,0.42464,0,0,1777375764.310563
110,stage3.7.branch2.7,ReLU,ReLU(inplace=True),1x116x14x14,1x116x14x14,0,0,,,,,,,,False,100,0.242479,0.024469,0.218963,0.304642,0.227401,0.289136,0,0,1777375764.3109071
111,stage4.0.branch1.0,Conv2d,"Conv2d(232, 232, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=232, bias=False)",1x232x14x14,1x232x7x7,2088,2088,232,232,3x3,2x2,1x1,1x1,232,False,100,0.316595,0.028825,0.287037,0.436676,0.299746,0.361267,0,0,1777375764.3118885
112,stage4.0.branch1.1,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.382588,0.030433,0.349747,0.494698,0.364747,0.439863,0,0,1777375764.31237
113,stage4.0.branch1.2,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x7x7,1x232x7x7,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.536855,0.051032,0.481208,0.72512,0.52173,0.616529,0,0,1777375764.3129978
114,stage4.0.branch1.3,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.38179,0.032588,0.348705,0.493605,0.363315,0.445043,0,0,1777375764.3134904
115,stage4.0.branch1.4,ReLU,ReLU(inplace=True),1x232x7x7,1x232x7x7,0,0,,,,,,,,False,100,0.245742,0.023861,0.221931,0.314069,0.231203,0.282069,0,0,1777375764.3138437
116,stage4.0.branch2.0,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x14x14,1x232x14x14,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.814454,0.037915,0.771318,1.001792,0.798299,0.869099,0,0,1777375764.3147688
117,stage4.0.branch2.1,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x14x14,1x232x14x14,464,464,,,,,,,,True,100,0.386661,0.030892,0.357351,0.507979,0.372299,0.429501,0,0,1777375764.31526
118,stage4.0.branch2.2,ReLU,ReLU(inplace=True),1x232x14x14,1x232x14x14,0,0,,,,,,,,False,100,0.242628,0.023521,0.217765,0.29985,0.22701,0.281284,0,0,1777375764.3156118
119,stage4.0.branch2.3,Conv2d,"Conv2d(232, 232, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=232, bias=False)",1x232x14x14,1x232x7x7,2088,2088,232,232,3x3,2x2,1x1,1x1,232,False,100,0.315555,0.033435,0.280735,0.413811,0.296386,0.389795,0,0,1777375764.316095
120,stage4.0.branch2.4,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.376848,0.034847,0.340632,0.516001,0.363159,0.433741,0,0,1777375764.3165839
121,stage4.0.branch2.5,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x7x7,1x232x7x7,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.534974,0.052376,0.471625,0.669858,0.508839,0.630221,0,0,1777375764.3171961
122,stage4.0.branch2.6,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.382152,0.03764,0.346361,0.557512,0.3648,0.440314,0,0,1777375764.317688
123,stage4.0.branch2.7,ReLU,ReLU(inplace=True),1x232x7x7,1x232x7x7,0,0,,,,,,,,False,100,0.249961,0.034559,0.218651,0.395477,0.2305,0.317189,0,0,1777375764.3180382
