Runtime,Device,Mean(ms),P95(ms),FPS,PeakMem(MB),AvgPower(mW)
pytorch_cpu,cpu,10.09,10.1,99.12,0,0
pytorch_cuda,cuda,10.2,10.29,98.04,0.0,0
tensorrt_fp32,cuda,10.16,10.21,98.4,0.0,0
tensorrt_fp16,cuda,10.16,10.2,98.41,0.0,0
tensorrt_int8,cuda,10.18,10.3,98.23,0.0,0
onnxrt_cpu,cpu,10.09,10.1,99.12,0,0
tflite_cpu,cpu,10.09,10.1,99.14,0,0
ncnn_vulkan,vulkan,10.09,10.11,99.12,0,0
