model,runtime,power_mode,num_runs,latency_mean_ms,power_mean_mw,energy_per_inference_mj,total_energy_mj,co2_per_inference_mg,total_co2_mg
resnet50,tensorrt_fp16,10w,100,29.82,4967.67,148.1156,14811.56,18.884737,1888.4737
resnet50,tensorrt_fp16,5w,100,42.71,3459.08,147.7513,14775.13,18.838285,1883.8285
resnet50,tensorrt_fp32,10w,100,54.51,3524.92,192.1429,19214.29,24.498218,2449.8218
resnet50,tensorrt_fp32,5w,100,78.18,2699.45,211.0314,21103.14,26.906509,2690.6509
resnet50,tensorrt_int8,10w,100,54.07,5889.56,318.445,31844.5,40.601735,4060.1735
resnet50,tensorrt_int8,5w,100,77.75,3793.38,294.9426,29494.26,37.605177,3760.5177
resnet50,tflite_cpu,10w,100,524.13,4660.35,2442.6199,244261.99,311.434043,31143.4043
resnet50,tflite_cpu,5w,100,1336.6,2643.55,3533.3672,353336.72,450.504316,45050.4316
resnet50,tflite_gpu,10w,100,0,2501.3,0,0,0,0
resnet50,tflite_gpu,5w,100,0,2093.83,0,0,0,0
shufflenet_v2_x1_0,ncnn_cpu,10w,100,18.67,4906.4,91.6008,9160.08,11.679103,1167.9103
shufflenet_v2_x1_0,ncnn_cpu,5w,100,45.87,2801.1,128.4807,12848.07,16.381285,1638.1285
shufflenet_v2_x1_0,ncnn_vulkan,10w,100,17.71,4984.6,88.2787,8827.87,11.255529,1125.5529
shufflenet_v2_x1_0,ncnn_vulkan,5w,100,40.19,2691.5,108.1785,10817.85,13.792759,1379.2759
shufflenet_v2_x1_0,onnxrt_cuda,10w,100,15.85,2852.5,45.1981,4519.81,5.762755,576.2755
shufflenet_v2_x1_0,onnxrt_cuda,5w,100,51.27,2630.08,134.8327,13483.27,17.191172,1719.1172
shufflenet_v2_x1_0,onnxrt_tensorrt,10w,100,8.55,2994.9,25.6079,2560.79,3.265005,326.5005
shufflenet_v2_x1_0,onnxrt_tensorrt,5w,100,11.88,2414.7,28.6888,2868.88,3.657824,365.7824
shufflenet_v2_x1_0,pytorch_cpu,10w,100,321.76,4684.02,1507.129,150712.9,192.158942,19215.8942
shufflenet_v2_x1_0,pytorch_cpu,5w,100,398.46,2447.63,975.2876,97528.76,124.349175,12434.9175
shufflenet_v2_x1_0,pytorch_cuda,10w,100,30.41,3041.59,92.4825,9248.25,11.791517,1179.1517
shufflenet_v2_x1_0,pytorch_cuda,5w,100,42.98,2303.7,99.0126,9901.26,12.624113,1262.4113
shufflenet_v2_x1_0,tensorrt_fp16,10w,100,7.57,3401.44,25.7413,2574.13,3.282016,328.2016
shufflenet_v2_x1_0,tensorrt_fp16,5w,100,11.14,2622.33,29.2052,2920.52,3.723664,372.3664
shufflenet_v2_x1_0,tensorrt_fp32,10w,100,8.06,2791.41,22.4851,2248.51,2.866847,286.6847
shufflenet_v2_x1_0,tensorrt_fp32,5w,100,12.46,2290.51,28.5473,2854.73,3.639781,363.9781
shufflenet_v2_x1_0,tensorrt_int8,10w,100,7.99,3239.7,25.8844,2588.44,3.300266,330.0266
shufflenet_v2_x1_0,tensorrt_int8,5w,100,10.87,3414.5,37.1249,3712.49,4.733428,473.3428
