layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
116,features.10.block.2.activation,ReLU,ReLU(),1x144x1x1,1x144x1x1,0,0,,,,,,,,False,100,0.088812,0.010665,0.083543,0.192555,0.087423,0.092507,0,0,1777275167.3049295
117,features.10.block.2.fc2,Conv2d,"Conv2d(144, 576, kernel_size=(1, 1), stride=(1, 1))",1x144x1x1,1x576x1x1,83520,83520,144,576,1x1,1x1,0x0,1x1,1,True,100,0.523903,0.478123,0.424904,4.593571,0.437091,0.603888,0,0,1777275167.30543
118,features.10.block.2.scale_activation,Hardsigmoid,Hardsigmoid(),1x576x1x1,1x576x1x1,0,0,,,,,,,,False,100,0.093002,0.058393,0.08021,0.651939,0.084012,0.09418,0,0,1777275167.3055854
119,features.10.block.3.0,Conv2d,"Conv2d(576, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x576x7x7,1x96x7x7,55296,55296,576,96,1x1,1x1,0x0,1x1,1,False,100,2.210316,2.197643,0.83939,9.304176,0.86827,7.171111,0,0,1777275167.3066204
120,features.10.block.3.1,BatchNorm2d,"BatchNorm2d(96, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x96x7x7,1x96x7x7,192,192,,,,,,,,True,100,0.510156,0.850365,0.230681,3.945018,0.24201,3.389724,0,0,1777275167.3100379
121,features.11.block.0.0,Conv2d,"Conv2d(96, 576, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x96x7x7,1x576x7x7,55296,55296,96,576,1x1,1x1,0x0,1x1,1,False,100,1.317287,0.62035,0.874391,2.593119,0.909913,2.39141,0,0,1777275167.3122926
122,features.11.block.0.1,BatchNorm2d,"BatchNorm2d(576, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x576x7x7,1x576x7x7,1152,1152,,,,,,,,True,100,0.476739,0.433753,0.280786,1.907482,0.295734,1.7806,0,0,1777275167.3131678
123,features.11.block.0.2,Hardswish,Hardswish(),1x576x7x7,1x576x7x7,0,0,,,,,,,,False,100,0.347377,0.046624,0.335266,0.797463,0.339824,0.382593,0,0,1777275167.3135686
124,features.11.block.1.0,Conv2d,"Conv2d(576, 576, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2), groups=576, bias=False)",1x576x7x7,1x576x7x7,14400,14400,576,576,5x5,1x1,2x2,1x1,576,False,100,55.954495,23.658619,35.309431,109.062358,39.734639,100.172443,0,0,1777275167.4162672
125,features.11.block.1.1,BatchNorm2d,"BatchNorm2d(576, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x576x7x7,1x576x7x7,1152,1152,,,,,,,,True,100,0.970392,1.195563,0.310735,6.679442,0.45368,2.246264,0,0,1777275167.4183362
126,features.11.block.1.2,Hardswish,Hardswish(),1x576x7x7,1x576x7x7,0,0,,,,,,,,False,100,0.391,0.454651,0.334485,4.910556,0.340709,0.383283,0,0,1777275167.418737
127,features.11.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x576x7x7,1x576x1x1,0,0,,,,,,,,False,100,0.432771,0.621986,0.336256,6.24558,0.346386,0.390574,0,0,1777275167.419177
128,features.11.block.2.fc1,Conv2d,"Conv2d(576, 144, kernel_size=(1, 1), stride=(1, 1))",1x576x1x1,1x144x1x1,83088,83088,576,144,1x1,1x1,0x0,1x1,1,True,100,0.585907,0.575458,0.500426,6.301727,0.516598,0.598708,0,0,1777275167.4198158
129,features.11.block.2.activation,ReLU,ReLU(),1x144x1x1,1x144x1x1,0,0,,,,,,,,False,100,0.088696,0.007664,0.082501,0.132919,0.087345,0.092932,0,0,1777275167.41999
