runtime,top1,top5,n,status,status_reason,error
pytorch_cpu,91.6,98.6,500,measured,ok,
pytorch_cuda,91.6,98.6,500,measured,ok,
onnxrt_cuda,91.6,98.6,500,measured,ok,
onnxrt_trt,91.6,98.6,500,measured,ok,
tflite_cpu,91.6,98.6,500,measured,ok,
tensorrt_fp32,91.6,98.6,500,measured,ok,
tensorrt_fp16,91.6,98.6,500,measured,ok,
tensorrt_int8,92.2,98.2,500,measured,ok,
ncnn_cpu,91.6,98.6,500,measured,ok,
ncnn_vulkan,91.6,98.6,500,measured,ok,
