model,runtime,power_mode,status,error,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,memory_mb,model_size_mb,fps,power_avg_mw,power_max_mw
ssd_mobilenet_v2_fp32.engine,tensorrt_fp32,10w,ok,,26.14849802017212,0.3262066451750077,25.87010383605957,28.548906326293945,26.037161827087402,26.549287414550783,26.91061237335206,1.87,24.49,38.24,4545.18,7130.0
ssd_mobilenet_v2_fp16.engine,tensorrt_fp16,10w,ok,,23.549647483825684,0.3132198284280072,23.31557273864746,26.02442741394043,23.432394981384277,23.908992290496826,24.03633237838746,1.87,13.57,42.46,6122.67,6745.0
ssd_mobilenet_v2_int8.engine,tensorrt_int8,10w,ok,,26.01151243209839,0.19042391636858794,25.780208587646484,26.500572204589844,25.924062728881836,26.40172595977783,26.45916799545288,1.87,23.67,38.44,5795.0,6864.0
