model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
efficientnet_b0,pytorch_cpu,25,aten::reshape,pytorch,op,0.014808,0.000308,0.014541,0.015403,1600,0.167318,99.143627,28,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,13,aten::_reshape_alias,pytorch,op,0.055341,0.041701,0.005539,0.132542,1650,0.625306,95.80185,29,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,19,aten::sigmoid,pytorch,op,0.023435,0.000431,0.022812,0.024081,800,0.264795,97.963002,30,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,6,aten::mul,pytorch,op,0.587366,0.069489,0.51685,0.689019,800,6.636731,83.729182,31,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,9,aten::add_,pytorch,op,0.10274,0.024418,0.069656,0.133689,450,1.160874,92.736879,32,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,20,aten::flatten,pytorch,op,0.0215,0.001453,0.0186,0.0224,50,0.242932,98.205934,33,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,31,aten::dropout_,pytorch,op,0.00612,0.002561,0.001,0.0075,50,0.069151,99.66793,34,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,17,aten::linear,pytorch,op,0.03056,0.006691,0.0197,0.0397,50,0.345302,97.433129,35,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,23,aten::t,pytorch,op,0.0161,0.002812,0.0113,0.019,50,0.181916,98.804031,36,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,18,aten::transpose,pytorch,op,0.02346,0.018732,0.0084,0.0604,50,0.265078,97.698207,37,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,1,aten::addmm,pytorch,op,3.20404,0.640466,2.7037,4.4422,50,36.202897,36.202897,38,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,26,aten::expand,pytorch,op,0.01174,0.001221,0.0093,0.0124,50,0.132652,99.276279,39,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,40,aten::resolve_conj,pytorch,op,0.00155,6.1e-05,0.0015,0.00165,80,0.017514,100.0,40,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
