model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
resnet50,onnxrt_cuda,148,FusedConv:/layer4/layer4.0/conv2/Conv_/layer4/layer4.0/relu_1/Relu_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,38,2.2e-05,99.999487,134,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,39,FusedConv:/layer4/layer4.0/conv2/Conv_/layer4/layer4.0/relu_1/Relu_kernel_time,onnxruntime,onnx_node,0.73025,4.635347,0.118,36.335,60,0.016281,99.734467,135,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,149,FusedConv:/layer4/layer4.0/conv2/Conv_/layer4/layer4.0/relu_1/Relu_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,1,2.2e-05,99.99951,136,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,150,Conv:/layer4/layer4.0/conv3/Conv_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,27,2.2e-05,99.999532,137,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,14,Conv:/layer4/layer4.0/conv3/Conv_kernel_time,onnxruntime,onnx_node,0.9463,5.595883,0.204,43.929,60,0.021098,99.268424,138,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,151,Conv:/layer4/layer4.0/conv3/Conv_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,2,2.2e-05,99.999554,139,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,152,FusedConv:/layer4/layer4.0/downsample/downsample.0/Conv_/layer4/layer4.0/Add_/layer4/layer4.0/relu_2/Relu_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,55,2.2e-05,99.999576,140,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,40,FusedConv:/layer4/layer4.0/downsample/downsample.0/Conv_/layer4/layer4.0/Add_/layer4/layer4.0/relu_2/Relu_kernel_time,onnxruntime,onnx_node,0.70365,4.401088,0.123,34.509,60,0.015688,99.750154,141,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,153,FusedConv:/layer4/layer4.1/conv1/Conv_/layer4/layer4.1/relu/Relu_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,19,2.2e-05,99.999599,142,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
resnet50,onnxrt_cuda,8,FusedConv:/layer4/layer4.1/conv1/Conv_/layer4/layer4.1/relu/Relu_kernel_time,onnxruntime,onnx_node,1.397283,9.614694,0.134,75.249,60,0.031152,99.125528,143,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_onnxrt_cuda.csv
