RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [1%@1479,5%@1479,1%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.25C POM_5V_IN 1972/2053 POM_5V_GPU 164/125 POM_5V_CPU 328/384
RAM 1552/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,6%@1479,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@35C PMIC@50C GPU@32C AO@43.5C thermal@33.25C POM_5V_IN 2334/2071 POM_5V_GPU 122/125 POM_5V_CPU 572/396
RAM 1553/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [8%@921,11%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@153 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 2368/2088 POM_5V_GPU 40/120 POM_5V_CPU 489/401
RAM 1553/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [4%@921,9%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.5C POM_5V_IN 2371/2104 POM_5V_GPU 81/118 POM_5V_CPU 531/408
RAM 1553/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 1731/2084 POM_5V_GPU 82/116 POM_5V_CPU 164/396
RAM 1553/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,9%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 2215/2091 POM_5V_GPU 81/114 POM_5V_CPU 409/396
RAM 1553/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,8%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 1731/2074 POM_5V_GPU 82/112 POM_5V_CPU 164/385
RAM 1553/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [8%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@34C PMIC@50C GPU@32C AO@43C thermal@32.5C POM_5V_IN 1731/2058 POM_5V_GPU 82/111 POM_5V_CPU 164/375
RAM 1553/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [11%@921,2%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.5C POM_5V_IN 1728/2044 POM_5V_GPU 82/110 POM_5V_CPU 164/366
RAM 1576/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [10%@921,29%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 1731/2031 POM_5V_GPU 82/109 POM_5V_CPU 164/357
RAM 1648/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [92%@921,89%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33.25C POM_5V_IN 2174/2036 POM_5V_GPU 82/107 POM_5V_CPU 410/359
RAM 1696/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,85%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.25C POM_5V_IN 2568/2057 POM_5V_GPU 81/106 POM_5V_CPU 774/375
RAM 1697/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 2535/2074 POM_5V_GPU 81/105 POM_5V_CPU 898/395
